,estado,edad,count
0,Aguascalientes,25,1
1,Aguascalientes,26,1
2,Aguascalientes,27,1
3,Aguascalientes,28,2
4,Aguascalientes,30,2
5,Aguascalientes,31,4
6,Aguascalientes,32,2
7,Aguascalientes,33,4
8,Aguascalientes,34,5
9,Aguascalientes,35,8
10,Aguascalientes,36,7
11,Aguascalientes,37,8
12,Aguascalientes,38,16
13,Aguascalientes,39,26
14,Aguascalientes,40,508
15,Aguascalientes,41,678
16,Aguascalientes,42,725
17,Aguascalientes,43,731
18,Aguascalientes,44,759
19,Aguascalientes,45,697
20,Aguascalientes,46,672
21,Aguascalientes,47,679
22,Aguascalientes,48,673
23,Aguascalientes,49,645
24,Aguascalientes,50,672
25,Aguascalientes,51,577
26,Aguascalientes,52,509
27,Aguascalientes,53,505
28,Aguascalientes,54,426
29,Aguascalientes,55,436
30,Aguascalientes,56,423
31,Aguascalientes,57,386
32,Aguascalientes,58,330
33,Aguascalientes,59,310
34,Aguascalientes,60,319
35,Aguascalientes,61,266
36,Aguascalientes,62,259
37,Aguascalientes,63,203
38,Aguascalientes,64,187
39,Aguascalientes,65,140
40,Aguascalientes,66,148
41,Aguascalientes,67,103
42,Aguascalientes,68,105
43,Aguascalientes,69,84
44,Baja California,26,1
45,Baja California,27,1
46,Baja California,28,1
47,Baja California,29,6
48,Baja California,30,3
49,Baja California,31,2
50,Baja California,32,5
51,Baja California,33,6
52,Baja California,34,5
53,Baja California,35,8
54,Baja California,36,20
55,Baja California,37,30
56,Baja California,38,30
57,Baja California,39,91
58,Baja California,40,889
59,Baja California,41,1022
60,Baja California,42,962
61,Baja California,43,1067
62,Baja California,44,991
63,Baja California,45,1055
64,Baja California,46,996
65,Baja California,47,957
66,Baja California,48,973
67,Baja California,49,920
68,Baja California,50,869
69,Baja California,51,838
70,Baja California,52,835
71,Baja California,53,734
72,Baja California,54,737
73,Baja California,55,704
74,Baja California,56,664
75,Baja California,57,578
76,Baja California,58,607
77,Baja California,59,530
78,Baja California,60,498
79,Baja California,61,410
80,Baja California,62,355
81,Baja California,63,316
82,Baja California,64,263
83,Baja California,65,261
84,Baja California,66,221
85,Baja California,67,187
86,Baja California,68,167
87,Baja California,69,132
88,Baja California Sur,25,1
89,Baja California Sur,28,1
90,Baja California Sur,32,2
91,Baja California Sur,33,3
92,Baja California Sur,34,2
93,Baja California Sur,35,8
94,Baja California Sur,36,7
95,Baja California Sur,37,17
96,Baja California Sur,38,17
97,Baja California Sur,39,60
98,Baja California Sur,40,261
99,Baja California Sur,41,298
100,Baja California Sur,42,289
101,Baja California Sur,43,318
102,Baja California Sur,44,308
103,Baja California Sur,45,287
104,Baja California Sur,46,292
105,Baja California Sur,47,237
106,Baja California Sur,48,242
107,Baja California Sur,49,275
108,Baja California Sur,50,273
109,Baja California Sur,51,252
110,Baja California Sur,52,235
111,Baja California Sur,53,226
112,Baja California Sur,54,193
113,Baja California Sur,55,185
114,Baja California Sur,56,177
115,Baja California Sur,57,158
116,Baja California Sur,58,160
117,Baja California Sur,59,136
118,Baja California Sur,60,129
119,Baja California Sur,61,119
120,Baja California Sur,62,95
121,Baja California Sur,63,61
122,Baja California Sur,64,66
123,Baja California Sur,65,70
124,Baja California Sur,66,63
125,Baja California Sur,67,39
126,Baja California Sur,68,40
127,Baja California Sur,69,39
128,Campeche,27,2
129,Campeche,28,1
130,Campeche,30,2
131,Campeche,31,2
132,Campeche,32,2
133,Campeche,33,2
134,Campeche,34,1
135,Campeche,35,8
136,Campeche,36,7
137,Campeche,37,5
138,Campeche,38,8
139,Campeche,39,24
140,Campeche,40,284
141,Campeche,41,333
142,Campeche,42,312
143,Campeche,43,286
144,Campeche,44,332
145,Campeche,45,316
146,Campeche,46,299
147,Campeche,47,308
148,Campeche,48,309
149,Campeche,49,258
150,Campeche,50,313
151,Campeche,51,291
152,Campeche,52,281
153,Campeche,53,264
154,Campeche,54,246
155,Campeche,55,241
156,Campeche,56,196
157,Campeche,57,227
158,Campeche,58,189
159,Campeche,59,190
160,Campeche,60,170
161,Campeche,61,142
162,Campeche,62,132
163,Campeche,63,127
164,Campeche,64,111
165,Campeche,65,106
166,Campeche,66,109
167,Campeche,67,75
168,Campeche,68,74
169,Campeche,69,69
170,Chiapas,31,1
171,Chiapas,32,1
172,Chiapas,33,2
173,Chiapas,36,2
174,Chiapas,37,1
175,Chiapas,38,1
176,Chiapas,39,5
177,Chiapas,40,42
178,Chiapas,41,56
179,Chiapas,42,59
180,Chiapas,43,51
181,Chiapas,44,61
182,Chiapas,45,54
183,Chiapas,46,52
184,Chiapas,47,32
185,Chiapas,48,37
186,Chiapas,49,41
187,Chiapas,50,42
188,Chiapas,51,27
189,Chiapas,52,22
190,Chiapas,53,17
191,Chiapas,54,21
192,Chiapas,55,23
193,Chiapas,56,20
194,Chiapas,57,16
195,Chiapas,58,11
196,Chiapas,59,14
197,Chiapas,60,17
198,Chiapas,61,13
199,Chiapas,62,9
200,Chiapas,63,9
201,Chiapas,64,6
202,Chiapas,65,3
203,Chiapas,66,7
204,Chiapas,67,6
205,Chiapas,68,4
206,Chiapas,69,3
207,Chihuahua,25,4
208,Chihuahua,26,4
209,Chihuahua,27,6
210,Chihuahua,28,12
211,Chihuahua,29,13
212,Chihuahua,30,5
213,Chihuahua,31,15
214,Chihuahua,32,9
215,Chihuahua,33,8
216,Chihuahua,34,24
217,Chihuahua,35,23
218,Chihuahua,36,61
219,Chihuahua,37,74
220,Chihuahua,38,95
221,Chihuahua,39,177
222,Chihuahua,40,985
223,Chihuahua,41,1133
224,Chihuahua,42,1144
225,Chihuahua,43,1256
226,Chihuahua,44,1181
227,Chihuahua,45,1135
228,Chihuahua,46,1119
229,Chihuahua,47,1093
230,Chihuahua,48,1120
231,Chihuahua,49,1064
232,Chihuahua,50,990
233,Chihuahua,51,950
234,Chihuahua,52,933
235,Chihuahua,53,847
236,Chihuahua,54,766
237,Chihuahua,55,749
238,Chihuahua,56,728
239,Chihuahua,57,590
240,Chihuahua,58,524
241,Chihuahua,59,513
242,Chihuahua,60,449
243,Chihuahua,61,396
244,Chihuahua,62,376
245,Chihuahua,63,340
246,Chihuahua,64,302
247,Chihuahua,65,290
248,Chihuahua,66,229
249,Chihuahua,67,188
250,Chihuahua,68,180
251,Chihuahua,69,137
252,Ciudad de México,25,2
253,Ciudad de México,27,2
254,Ciudad de México,28,2
255,Ciudad de México,29,2
256,Ciudad de México,30,1
257,Ciudad de México,31,1
258,Ciudad de México,32,2
259,Ciudad de México,33,6
260,Ciudad de México,34,2
261,Ciudad de México,35,13
262,Ciudad de México,36,30
263,Ciudad de México,37,28
264,Ciudad de México,38,49
265,Ciudad de México,39,285
266,Ciudad de México,40,2616
267,Ciudad de México,41,3087
268,Ciudad de México,42,3377
269,Ciudad de México,43,3369
270,Ciudad de México,44,3522
271,Ciudad de México,45,3507
272,Ciudad de México,46,3504
273,Ciudad de México,47,3457
274,Ciudad de México,48,3397
275,Ciudad de México,49,3341
276,Ciudad de México,50,3301
277,Ciudad de México,51,3387
278,Ciudad de México,52,3161
279,Ciudad de México,53,3130
280,Ciudad de México,54,3023
281,Ciudad de México,55,2790
282,Ciudad de México,56,2777
283,Ciudad de México,57,2591
284,Ciudad de México,58,2401
285,Ciudad de México,59,2313
286,Ciudad de México,60,2083
287,Ciudad de México,61,2025
288,Ciudad de México,62,1791
289,Ciudad de México,63,1627
290,Ciudad de México,64,1438
291,Ciudad de México,65,1399
292,Ciudad de México,66,1165
293,Ciudad de México,67,1097
294,Ciudad de México,68,1016
295,Ciudad de México,69,1025
296,Coahuila de Zaragoza,25,1
297,Coahuila de Zaragoza,26,1
298,Coahuila de Zaragoza,28,2
299,Coahuila de Zaragoza,30,3
300,Coahuila de Zaragoza,31,1
301,Coahuila de Zaragoza,32,7
302,Coahuila de Zaragoza,33,6
303,Coahuila de Zaragoza,34,3
304,Coahuila de Zaragoza,35,10
305,Coahuila de Zaragoza,36,12
306,Coahuila de Zaragoza,37,14
307,Coahuila de Zaragoza,38,19
308,Coahuila de Zaragoza,39,46
309,Coahuila de Zaragoza,40,412
310,Coahuila de Zaragoza,41,482
311,Coahuila de Zaragoza,42,487
312,Coahuila de Zaragoza,43,529
313,Coahuila de Zaragoza,44,451
314,Coahuila de Zaragoza,45,483
315,Coahuila de Zaragoza,46,476
316,Coahuila de Zaragoza,47,440
317,Coahuila de Zaragoza,48,406
318,Coahuila de Zaragoza,49,452
319,Coahuila de Zaragoza,50,422
320,Coahuila de Zaragoza,51,433
321,Coahuila de Zaragoza,52,368
322,Coahuila de Zaragoza,53,407
323,Coahuila de Zaragoza,54,290
324,Coahuila de Zaragoza,55,312
325,Coahuila de Zaragoza,56,294
326,Coahuila de Zaragoza,57,261
327,Coahuila de Zaragoza,58,246
328,Coahuila de Zaragoza,59,250
329,Coahuila de Zaragoza,60,199
330,Coahuila de Zaragoza,61,184
331,Coahuila de Zaragoza,62,186
332,Coahuila de Zaragoza,63,139
333,Coahuila de Zaragoza,64,118
334,Coahuila de Zaragoza,65,123
335,Coahuila de Zaragoza,66,128
336,Coahuila de Zaragoza,67,103
337,Coahuila de Zaragoza,68,92
338,Coahuila de Zaragoza,69,93
339,Colima,25,1
340,Colima,31,2
341,Colima,33,1
342,Colima,34,1
343,Colima,35,2
344,Colima,36,2
345,Colima,37,2
346,Colima,38,2
347,Colima,39,17
348,Colima,40,197
349,Colima,41,245
350,Colima,42,259
351,Colima,43,293
352,Colima,44,266
353,Colima,45,268
354,Colima,46,260
355,Colima,47,241
356,Colima,48,219
357,Colima,49,246
358,Colima,50,213
359,Colima,51,222
360,Colima,52,206
361,Colima,53,191
362,Colima,54,181
363,Colima,55,167
364,Colima,56,168
365,Colima,57,159
366,Colima,58,154
367,Colima,59,119
368,Colima,60,132
369,Colima,61,91
370,Colima,62,80
371,Colima,63,87
372,Colima,64,78
373,Colima,65,63
374,Colima,66,38
375,Colima,67,56
376,Colima,68,39
377,Colima,69,25
378,Durango,25,1
379,Durango,27,1
380,Durango,29,4
381,Durango,30,2
382,Durango,31,1
383,Durango,32,1
384,Durango,34,7
385,Durango,35,2
386,Durango,36,13
387,Durango,37,20
388,Durango,38,31
389,Durango,39,54
390,Durango,40,708
391,Durango,41,832
392,Durango,42,837
393,Durango,43,898
394,Durango,44,886
395,Durango,45,813
396,Durango,46,819
397,Durango,47,769
398,Durango,48,737
399,Durango,49,831
400,Durango,50,750
401,Durango,51,685
402,Durango,52,693
403,Durango,53,679
404,Durango,54,634
405,Durango,55,586
406,Durango,56,577
407,Durango,57,484
408,Durango,58,475
409,Durango,59,430
410,Durango,60,423
411,Durango,61,356
412,Durango,62,317
413,Durango,63,255
414,Durango,64,255
415,Durango,65,254
416,Durango,66,195
417,Durango,67,166
418,Durango,68,148
419,Durango,69,124
420,Estado de México,25,4
421,Estado de México,26,9
422,Estado de México,27,1
423,Estado de México,28,5
424,Estado de México,29,10
425,Estado de México,30,8
426,Estado de México,31,20
427,Estado de México,32,24
428,Estado de México,33,21
429,Estado de México,34,31
430,Estado de México,35,29
431,Estado de México,36,55
432,Estado de México,37,79
433,Estado de México,38,117
434,Estado de México,39,415
435,Estado de México,40,8742
436,Estado de México,41,9770
437,Estado de México,42,9606
438,Estado de México,43,9542
439,Estado de México,44,9585
440,Estado de México,45,8772
441,Estado de México,46,8522
442,Estado de México,47,8515
443,Estado de México,48,8015
444,Estado de México,49,7665
445,Estado de México,50,7309
446,Estado de México,51,6747
447,Estado de México,52,6681
448,Estado de México,53,6260
449,Estado de México,54,5635
450,Estado de México,55,5558
451,Estado de México,56,5299
452,Estado de México,57,4751
453,Estado de México,58,4312
454,Estado de México,59,4062
455,Estado de México,60,3647
456,Estado de México,61,3404
457,Estado de México,62,2927
458,Estado de México,63,2633
459,Estado de México,64,2325
460,Estado de México,65,1986
461,Estado de México,66,1806
462,Estado de México,67,1490
463,Estado de México,68,1245
464,Estado de México,69,1066
465,Guanajuato,38,1
466,Guanajuato,40,1373
467,Guanajuato,41,1700
468,Guanajuato,42,1615
469,Guanajuato,43,1738
470,Guanajuato,44,1707
471,Guanajuato,45,1662
472,Guanajuato,46,1605
473,Guanajuato,47,1593
474,Guanajuato,48,1645
475,Guanajuato,49,1624
476,Guanajuato,50,1808
477,Guanajuato,51,1800
478,Guanajuato,52,1690
479,Guanajuato,53,1609
480,Guanajuato,54,1530
481,Guanajuato,55,1460
482,Guanajuato,56,1464
483,Guanajuato,57,1417
484,Guanajuato,58,1269
485,Guanajuato,59,1229
486,Guanajuato,60,1060
487,Guanajuato,61,1022
488,Guanajuato,62,968
489,Guanajuato,63,840
490,Guanajuato,64,702
491,Guanajuato,65,643
492,Guanajuato,66,550
493,Guanajuato,67,471
494,Guanajuato,68,434
495,Guanajuato,69,387
496,Guerrero,28,1
497,Guerrero,33,1
498,Guerrero,35,1
499,Guerrero,36,2
500,Guerrero,37,7
501,Guerrero,38,12
502,Guerrero,39,29
503,Guerrero,40,1463
504,Guerrero,41,1615
505,Guerrero,42,1610
506,Guerrero,43,1597
507,Guerrero,44,1619
508,Guerrero,45,1572
509,Guerrero,46,1496
510,Guerrero,47,1494
511,Guerrero,48,1387
512,Guerrero,49,1435
