,resultado,edad,cuenta
0,Altamente Sugestiva a Malignidad,27,1
1,Altamente Sugestiva a Malignidad,28,3
2,Altamente Sugestiva a Malignidad,29,8
3,Altamente Sugestiva a Malignidad,30,5
4,Altamente Sugestiva a Malignidad,31,3
5,Altamente Sugestiva a Malignidad,32,7
6,Altamente Sugestiva a Malignidad,33,13
7,Altamente Sugestiva a Malignidad,34,4
8,Altamente Sugestiva a Malignidad,35,17
9,Altamente Sugestiva a Malignidad,36,13
10,Altamente Sugestiva a Malignidad,37,13
11,Altamente Sugestiva a Malignidad,38,15
12,Altamente Sugestiva a Malignidad,39,26
13,Altamente Sugestiva a Malignidad,40,48
14,Altamente Sugestiva a Malignidad,41,36
15,Altamente Sugestiva a Malignidad,42,60
16,Altamente Sugestiva a Malignidad,43,53
17,Altamente Sugestiva a Malignidad,44,61
18,Altamente Sugestiva a Malignidad,45,63
19,Altamente Sugestiva a Malignidad,46,53
20,Altamente Sugestiva a Malignidad,47,62
21,Altamente Sugestiva a Malignidad,48,63
22,Altamente Sugestiva a Malignidad,49,70
23,Altamente Sugestiva a Malignidad,50,69
24,Altamente Sugestiva a Malignidad,51,76
25,Altamente Sugestiva a Malignidad,52,52
26,Altamente Sugestiva a Malignidad,53,58
27,Altamente Sugestiva a Malignidad,54,62
28,Altamente Sugestiva a Malignidad,55,66
29,Altamente Sugestiva a Malignidad,56,56
30,Altamente Sugestiva a Malignidad,57,50
31,Altamente Sugestiva a Malignidad,58,53
32,Altamente Sugestiva a Malignidad,59,47
33,Altamente Sugestiva a Malignidad,60,35
34,Altamente Sugestiva a Malignidad,61,45
35,Altamente Sugestiva a Malignidad,62,36
36,Altamente Sugestiva a Malignidad,63,40
37,Altamente Sugestiva a Malignidad,64,42
38,Altamente Sugestiva a Malignidad,65,29
39,Altamente Sugestiva a Malignidad,66,26
40,Altamente Sugestiva a Malignidad,67,21
41,Altamente Sugestiva a Malignidad,68,35
42,Altamente Sugestiva a Malignidad,69,27
43,Anormalidad Sospechosa,25,2
44,Anormalidad Sospechosa,26,8
45,Anormalidad Sospechosa,28,5
46,Anormalidad Sospechosa,29,7
47,Anormalidad Sospechosa,30,8
48,Anormalidad Sospechosa,31,13
49,Anormalidad Sospechosa,32,15
50,Anormalidad Sospechosa,33,9
51,Anormalidad Sospechosa,34,15
52,Anormalidad Sospechosa,35,39
53,Anormalidad Sospechosa,36,35
54,Anormalidad Sospechosa,37,32
55,Anormalidad Sospechosa,38,52
56,Anormalidad Sospechosa,39,72
57,Anormalidad Sospechosa,40,245
58,Anormalidad Sospechosa,41,240
59,Anormalidad Sospechosa,42,245
60,Anormalidad Sospechosa,43,276
61,Anormalidad Sospechosa,44,260
62,Anormalidad Sospechosa,45,265
63,Anormalidad Sospechosa,46,274
64,Anormalidad Sospechosa,47,288
65,Anormalidad Sospechosa,48,262
66,Anormalidad Sospechosa,49,276
67,Anormalidad Sospechosa,50,285
68,Anormalidad Sospechosa,51,271
69,Anormalidad Sospechosa,52,225
70,Anormalidad Sospechosa,53,239
71,Anormalidad Sospechosa,54,211
72,Anormalidad Sospechosa,55,181
73,Anormalidad Sospechosa,56,190
74,Anormalidad Sospechosa,57,176
75,Anormalidad Sospechosa,58,151
76,Anormalidad Sospechosa,59,163
77,Anormalidad Sospechosa,60,132
78,Anormalidad Sospechosa,61,107
79,Anormalidad Sospechosa,62,109
80,Anormalidad Sospechosa,63,111
81,Anormalidad Sospechosa,64,86
82,Anormalidad Sospechosa,65,103
83,Anormalidad Sospechosa,66,83
84,Anormalidad Sospechosa,67,77
85,Anormalidad Sospechosa,68,69
86,Anormalidad Sospechosa,69,56
87,Benigna,25,128
88,Benigna,26,147
89,Benigna,27,160
90,Benigna,28,157
91,Benigna,29,162
92,Benigna,30,202
93,Benigna,31,227
94,Benigna,32,224
95,Benigna,33,312
96,Benigna,34,420
97,Benigna,35,667
98,Benigna,36,898
99,Benigna,37,1184
100,Benigna,38,1588
101,Benigna,39,4287
102,Benigna,40,25822
103,Benigna,41,24979
104,Benigna,42,24542
105,Benigna,43,24633
106,Benigna,44,24562
107,Benigna,45,24623
108,Benigna,46,23763
109,Benigna,47,23828
110,Benigna,48,23351
111,Benigna,49,23508
112,Benigna,50,25180
113,Benigna,51,22579
114,Benigna,52,22271
115,Benigna,53,21870
116,Benigna,54,20230
117,Benigna,55,18722
118,Benigna,56,17872
119,Benigna,57,16638
120,Benigna,58,15910
121,Benigna,59,14075
122,Benigna,60,13326
123,Benigna,61,11489
124,Benigna,62,11121
125,Benigna,63,10295
126,Benigna,64,8991
127,Benigna,65,8299
128,Benigna,66,7288
129,Benigna,67,6739
130,Benigna,68,5975
131,Benigna,69,5009
132,Evaluación Adicional,25,6
133,Evaluación Adicional,26,9
134,Evaluación Adicional,27,7
135,Evaluación Adicional,28,10
136,Evaluación Adicional,29,10
137,Evaluación Adicional,30,12
138,Evaluación Adicional,31,19
139,Evaluación Adicional,32,27
140,Evaluación Adicional,33,40
141,Evaluación Adicional,34,56
142,Evaluación Adicional,35,97
143,Evaluación Adicional,36,143
144,Evaluación Adicional,37,189
145,Evaluación Adicional,38,280
146,Evaluación Adicional,39,563
147,Evaluación Adicional,40,3346
148,Evaluación Adicional,41,3214
149,Evaluación Adicional,42,3156
150,Evaluación Adicional,43,3150
151,Evaluación Adicional,44,3008
152,Evaluación Adicional,45,3021
153,Evaluación Adicional,46,2849
154,Evaluación Adicional,47,2686
155,Evaluación Adicional,48,2441
156,Evaluación Adicional,49,2300
157,Evaluación Adicional,50,2218
158,Evaluación Adicional,51,1855
159,Evaluación Adicional,52,1638
160,Evaluación Adicional,53,1486
161,Evaluación Adicional,54,1272
162,Evaluación Adicional,55,1054
163,Evaluación Adicional,56,965
164,Evaluación Adicional,57,902
165,Evaluación Adicional,58,775
166,Evaluación Adicional,59,742
167,Evaluación Adicional,60,628
168,Evaluación Adicional,61,574
169,Evaluación Adicional,62,499
170,Evaluación Adicional,63,441
171,Evaluación Adicional,64,376
172,Evaluación Adicional,65,359
173,Evaluación Adicional,66,278
174,Evaluación Adicional,67,274
175,Evaluación Adicional,68,246
176,Evaluación Adicional,69,215
177,Negativa,25,13
178,Negativa,26,18
179,Negativa,27,21
180,Negativa,28,19
181,Negativa,29,21
182,Negativa,30,47
183,Negativa,31,43
184,Negativa,32,50
185,Negativa,33,69
186,Negativa,34,147
187,Negativa,35,297
188,Negativa,36,337
189,Negativa,37,459
190,Negativa,38,616
191,Negativa,39,1568
192,Negativa,40,8563
193,Negativa,41,8068
194,Negativa,42,7911
195,Negativa,43,7727
196,Negativa,44,7947
197,Negativa,45,7368
198,Negativa,46,7365
199,Negativa,47,7283
200,Negativa,48,7126
201,Negativa,49,7021
202,Negativa,50,8196
203,Negativa,51,6994
204,Negativa,52,6891
205,Negativa,53,6599
206,Negativa,54,5952
207,Negativa,55,5338
208,Negativa,56,5063
209,Negativa,57,4560
210,Negativa,58,4284
211,Negativa,59,3697
212,Negativa,60,3309
213,Negativa,61,2810
214,Negativa,62,2542
215,Negativa,63,2282
216,Negativa,64,2035
217,Negativa,65,1758
218,Negativa,66,1546
219,Negativa,67,1303
220,Negativa,68,1109
221,Negativa,69,913
222,Probablemente Benigna,25,6
223,Probablemente Benigna,26,1
224,Probablemente Benigna,27,4
225,Probablemente Benigna,28,10
226,Probablemente Benigna,29,9
227,Probablemente Benigna,30,9
228,Probablemente Benigna,31,11
229,Probablemente Benigna,32,19
230,Probablemente Benigna,33,26
231,Probablemente Benigna,34,38
232,Probablemente Benigna,35,64
233,Probablemente Benigna,36,75
234,Probablemente Benigna,37,91
235,Probablemente Benigna,38,168
236,Probablemente Benigna,39,346
237,Probablemente Benigna,40,2354
238,Probablemente Benigna,41,2306
239,Probablemente Benigna,42,2248
240,Probablemente Benigna,43,2212
241,Probablemente Benigna,44,2294
242,Probablemente Benigna,45,2295
243,Probablemente Benigna,46,2137
244,Probablemente Benigna,47,2071
245,Probablemente Benigna,48,2032
246,Probablemente Benigna,49,1894
247,Probablemente Benigna,50,1895
248,Probablemente Benigna,51,1627
249,Probablemente Benigna,52,1541
250,Probablemente Benigna,53,1397
251,Probablemente Benigna,54,1281
252,Probablemente Benigna,55,1133
253,Probablemente Benigna,56,1050
254,Probablemente Benigna,57,931
255,Probablemente Benigna,58,915
256,Probablemente Benigna,59,742
257,Probablemente Benigna,60,687
258,Probablemente Benigna,61,602
259,Probablemente Benigna,62,572
260,Probablemente Benigna,63,500
261,Probablemente Benigna,64,440
262,Probablemente Benigna,65,366
263,Probablemente Benigna,66,354
264,Probablemente Benigna,67,297
265,Probablemente Benigna,68,237
266,Probablemente Benigna,69,200
