,estado,edad,count
0,Aguascalientes,28,1
1,Aguascalientes,29,3
2,Aguascalientes,31,1
3,Aguascalientes,32,1
4,Aguascalientes,33,2
5,Aguascalientes,34,7
6,Aguascalientes,35,1
7,Aguascalientes,36,10
8,Aguascalientes,37,6
9,Aguascalientes,38,12
10,Aguascalientes,39,22
11,Aguascalientes,40,510
12,Aguascalientes,41,529
13,Aguascalientes,42,546
14,Aguascalientes,43,567
15,Aguascalientes,44,578
16,Aguascalientes,45,561
17,Aguascalientes,46,546
18,Aguascalientes,47,532
19,Aguascalientes,48,495
20,Aguascalientes,49,469
21,Aguascalientes,50,492
22,Aguascalientes,51,452
23,Aguascalientes,52,449
24,Aguascalientes,53,413
25,Aguascalientes,54,366
26,Aguascalientes,55,351
27,Aguascalientes,56,284
28,Aguascalientes,57,325
29,Aguascalientes,58,324
30,Aguascalientes,59,245
31,Aguascalientes,60,201
32,Aguascalientes,61,218
33,Aguascalientes,62,206
34,Aguascalientes,63,168
35,Aguascalientes,64,137
36,Aguascalientes,65,114
37,Aguascalientes,66,118
38,Aguascalientes,67,86
39,Aguascalientes,68,79
40,Aguascalientes,69,83
41,Baja California,26,1
42,Baja California,27,3
43,Baja California,28,3
44,Baja California,29,2
45,Baja California,30,2
46,Baja California,31,3
47,Baja California,32,5
48,Baja California,33,3
49,Baja California,34,4
50,Baja California,35,7
51,Baja California,36,5
52,Baja California,37,14
53,Baja California,38,31
54,Baja California,39,57
55,Baja California,40,438
56,Baja California,41,578
57,Baja California,42,581
58,Baja California,43,608
59,Baja California,44,676
60,Baja California,45,669
61,Baja California,46,632
62,Baja California,47,624
63,Baja California,48,578
64,Baja California,49,584
65,Baja California,50,539
66,Baja California,51,538
67,Baja California,52,524
68,Baja California,53,520
69,Baja California,54,476
70,Baja California,55,446
71,Baja California,56,409
72,Baja California,57,442
73,Baja California,58,421
74,Baja California,59,369
75,Baja California,60,332
76,Baja California,61,281
77,Baja California,62,255
78,Baja California,63,234
79,Baja California,64,212
80,Baja California,65,198
81,Baja California,66,162
82,Baja California,67,146
83,Baja California,68,107
84,Baja California,69,104
85,Baja California Sur,29,1
86,Baja California Sur,31,2
87,Baja California Sur,32,4
88,Baja California Sur,33,2
89,Baja California Sur,34,3
90,Baja California Sur,35,10
91,Baja California Sur,36,3
92,Baja California Sur,37,9
93,Baja California Sur,38,26
94,Baja California Sur,39,26
95,Baja California Sur,40,206
96,Baja California Sur,41,241
97,Baja California Sur,42,223
98,Baja California Sur,43,241
99,Baja California Sur,44,234
100,Baja California Sur,45,232
101,Baja California Sur,46,234
102,Baja California Sur,47,238
103,Baja California Sur,48,219
104,Baja California Sur,49,207
105,Baja California Sur,50,221
106,Baja California Sur,51,195
107,Baja California Sur,52,166
108,Baja California Sur,53,170
109,Baja California Sur,54,153
110,Baja California Sur,55,172
111,Baja California Sur,56,169
112,Baja California Sur,57,161
113,Baja California Sur,58,110
114,Baja California Sur,59,125
115,Baja California Sur,60,99
116,Baja California Sur,61,83
117,Baja California Sur,62,84
118,Baja California Sur,63,75
119,Baja California Sur,64,84
120,Baja California Sur,65,56
121,Baja California Sur,66,47
122,Baja California Sur,67,47
123,Baja California Sur,68,36
124,Baja California Sur,69,34
125,Campeche,28,1
126,Campeche,29,1
127,Campeche,30,2
128,Campeche,31,1
129,Campeche,32,2
130,Campeche,34,2
131,Campeche,35,1
132,Campeche,36,1
133,Campeche,37,3
134,Campeche,38,7
135,Campeche,39,14
136,Campeche,40,258
137,Campeche,41,215
138,Campeche,42,267
139,Campeche,43,248
140,Campeche,44,288
141,Campeche,45,256
142,Campeche,46,272
143,Campeche,47,270
144,Campeche,48,264
145,Campeche,49,256
146,Campeche,50,246
147,Campeche,51,225
148,Campeche,52,232
149,Campeche,53,227
150,Campeche,54,228
151,Campeche,55,213
152,Campeche,56,196
153,Campeche,57,186
154,Campeche,58,156
155,Campeche,59,140
156,Campeche,60,132
157,Campeche,61,126
158,Campeche,62,123
159,Campeche,63,111
160,Campeche,64,85
161,Campeche,65,63
162,Campeche,66,79
163,Campeche,67,65
164,Campeche,68,54
165,Campeche,69,53
166,Chiapas,26,2
167,Chiapas,29,1
168,Chiapas,33,2
169,Chiapas,34,1
170,Chiapas,35,3
171,Chiapas,36,1
172,Chiapas,37,1
173,Chiapas,38,7
174,Chiapas,39,4
175,Chiapas,40,41
176,Chiapas,41,83
177,Chiapas,42,63
178,Chiapas,43,63
179,Chiapas,44,69
180,Chiapas,45,68
181,Chiapas,46,45
182,Chiapas,47,51
183,Chiapas,48,60
184,Chiapas,49,54
185,Chiapas,50,37
186,Chiapas,51,51
187,Chiapas,52,41
188,Chiapas,53,41
189,Chiapas,54,40
190,Chiapas,55,35
191,Chiapas,56,27
192,Chiapas,57,32
193,Chiapas,58,22
194,Chiapas,59,26
195,Chiapas,60,15
196,Chiapas,61,17
197,Chiapas,62,18
198,Chiapas,63,14
199,Chiapas,64,7
200,Chiapas,65,7
201,Chiapas,66,4
202,Chiapas,67,10
203,Chiapas,68,1
204,Chiapas,69,6
205,Chihuahua,25,1
206,Chihuahua,26,1
207,Chihuahua,27,2
208,Chihuahua,28,1
209,Chihuahua,29,3
210,Chihuahua,30,3
211,Chihuahua,31,6
212,Chihuahua,32,5
213,Chihuahua,33,16
214,Chihuahua,34,18
215,Chihuahua,35,26
216,Chihuahua,36,32
217,Chihuahua,37,48
218,Chihuahua,38,58
219,Chihuahua,39,130
220,Chihuahua,40,873
221,Chihuahua,41,1059
222,Chihuahua,42,1117
223,Chihuahua,43,1201
224,Chihuahua,44,1235
225,Chihuahua,45,1221
226,Chihuahua,46,1184
227,Chihuahua,47,1125
228,Chihuahua,48,1052
229,Chihuahua,49,1062
230,Chihuahua,50,1016
231,Chihuahua,51,905
232,Chihuahua,52,881
233,Chihuahua,53,778
234,Chihuahua,54,747
235,Chihuahua,55,694
236,Chihuahua,56,692
237,Chihuahua,57,617
238,Chihuahua,58,509
239,Chihuahua,59,484
240,Chihuahua,60,420
241,Chihuahua,61,400
242,Chihuahua,62,350
243,Chihuahua,63,314
244,Chihuahua,64,286
245,Chihuahua,65,225
246,Chihuahua,66,206
247,Chihuahua,67,196
248,Chihuahua,68,178
249,Chihuahua,69,124
250,Ciudad de México,26,1
251,Ciudad de México,28,1
252,Ciudad de México,29,4
253,Ciudad de México,30,6
254,Ciudad de México,31,4
255,Ciudad de México,32,1
256,Ciudad de México,33,4
257,Ciudad de México,34,9
258,Ciudad de México,35,13
259,Ciudad de México,36,9
260,Ciudad de México,37,28
261,Ciudad de México,38,39
262,Ciudad de México,39,112
263,Ciudad de México,40,3200
264,Ciudad de México,41,3708
265,Ciudad de México,42,3777
266,Ciudad de México,43,4095
267,Ciudad de México,44,4175
268,Ciudad de México,45,4095
269,Ciudad de México,46,4007
270,Ciudad de México,47,4158
271,Ciudad de México,48,4212
272,Ciudad de México,49,4033
273,Ciudad de México,50,3895
274,Ciudad de México,51,3921
275,Ciudad de México,52,3863
276,Ciudad de México,53,3774
277,Ciudad de México,54,3584
278,Ciudad de México,55,3466
279,Ciudad de México,56,3292
280,Ciudad de México,57,3168
281,Ciudad de México,58,3046
282,Ciudad de México,59,2775
283,Ciudad de México,60,2628
284,Ciudad de México,61,2359
285,Ciudad de México,62,2318
286,Ciudad de México,63,1991
287,Ciudad de México,64,1792
288,Ciudad de México,65,1680
289,Ciudad de México,66,1592
290,Ciudad de México,67,1345
291,Ciudad de México,68,1234
292,Ciudad de México,69,1031
293,Coahuila de Zaragoza,29,1
294,Coahuila de Zaragoza,31,2
295,Coahuila de Zaragoza,32,3
296,Coahuila de Zaragoza,33,4
297,Coahuila de Zaragoza,34,1
298,Coahuila de Zaragoza,35,2
299,Coahuila de Zaragoza,36,8
300,Coahuila de Zaragoza,37,13
301,Coahuila de Zaragoza,38,12
302,Coahuila de Zaragoza,39,27
303,Coahuila de Zaragoza,40,443
304,Coahuila de Zaragoza,41,453
305,Coahuila de Zaragoza,42,427
306,Coahuila de Zaragoza,43,489
307,Coahuila de Zaragoza,44,501
308,Coahuila de Zaragoza,45,516
309,Coahuila de Zaragoza,46,447
310,Coahuila de Zaragoza,47,452
311,Coahuila de Zaragoza,48,449
312,Coahuila de Zaragoza,49,402
313,Coahuila de Zaragoza,50,424
314,Coahuila de Zaragoza,51,396
315,Coahuila de Zaragoza,52,407
316,Coahuila de Zaragoza,53,359
317,Coahuila de Zaragoza,54,329
318,Coahuila de Zaragoza,55,298
319,Coahuila de Zaragoza,56,305
320,Coahuila de Zaragoza,57,318
321,Coahuila de Zaragoza,58,240
322,Coahuila de Zaragoza,59,205
323,Coahuila de Zaragoza,60,196
324,Coahuila de Zaragoza,61,186
325,Coahuila de Zaragoza,62,170
326,Coahuila de Zaragoza,63,140
327,Coahuila de Zaragoza,64,142
328,Coahuila de Zaragoza,65,115
329,Coahuila de Zaragoza,66,112
330,Coahuila de Zaragoza,67,72
331,Coahuila de Zaragoza,68,112
332,Coahuila de Zaragoza,69,87
333,Colima,26,1
334,Colima,27,1
335,Colima,31,3
336,Colima,34,1
337,Colima,35,2
338,Colima,36,1
339,Colima,37,4
340,Colima,38,3
341,Colima,39,15
342,Colima,40,318
343,Colima,41,318
344,Colima,42,364
345,Colima,43,352
346,Colima,44,365
347,Colima,45,375
348,Colima,46,369
349,Colima,47,337
350,Colima,48,342
351,Colima,49,320
352,Colima,50,296
353,Colima,51,292
354,Colima,52,288
355,Colima,53,253
356,Colima,54,235
357,Colima,55,222
358,Colima,56,222
359,Colima,57,212
360,Colima,58,194
361,Colima,59,203
362,Colima,60,162
363,Colima,61,141
364,Colima,62,134
365,Colima,63,124
366,Colima,64,119
367,Colima,65,96
368,Colima,66,76
369,Colima,67,71
370,Colima,68,69
371,Colima,69,54
372,Durango,28,2
373,Durango,30,1
374,Durango,31,2
375,Durango,32,2
376,Durango,33,1
377,Durango,34,1
378,Durango,35,5
379,Durango,36,3
380,Durango,37,5
381,Durango,38,10
382,Durango,39,33
383,Durango,40,708
384,Durango,41,875
385,Durango,42,856
386,Durango,43,918
387,Durango,44,888
388,Durango,45,899
389,Durango,46,863
390,Durango,47,906
391,Durango,48,798
392,Durango,49,748
393,Durango,50,823
394,Durango,51,734
395,Durango,52,742
396,Durango,53,710
397,Durango,54,668
398,Durango,55,579
399,Durango,56,590
400,Durango,57,578
401,Durango,58,498
402,Durango,59,485
403,Durango,60,424
404,Durango,61,421
405,Durango,62,381
406,Durango,63,330
407,Durango,64,258
408,Durango,65,220
409,Durango,66,260
410,Durango,67,161
411,Durango,68,184
412,Durango,69,141
413,Estado de México,26,3
414,Estado de México,27,1
415,Estado de México,28,1
416,Estado de México,29,3
