,estado,edad,cuenta
0,Aguascalientes,28.0,1
1,Aguascalientes,32.0,3
2,Aguascalientes,33.0,3
3,Aguascalientes,34.0,3
4,Aguascalientes,35.0,3
5,Aguascalientes,36.0,4
6,Aguascalientes,37.0,7
7,Aguascalientes,38.0,8
8,Aguascalientes,39.0,15
9,Aguascalientes,40.0,428
10,Aguascalientes,41.0,390
11,Aguascalientes,42.0,407
12,Aguascalientes,43.0,438
13,Aguascalientes,44.0,438
14,Aguascalientes,45.0,466
15,Aguascalientes,46.0,489
16,Aguascalientes,47.0,448
17,Aguascalientes,48.0,442
18,Aguascalientes,49.0,420
19,Aguascalientes,50.0,405
20,Aguascalientes,51.0,379
21,Aguascalientes,52.0,346
22,Aguascalientes,53.0,361
23,Aguascalientes,54.0,348
24,Aguascalientes,55.0,341
25,Aguascalientes,56.0,287
26,Aguascalientes,57.0,304
27,Aguascalientes,58.0,250
28,Aguascalientes,59.0,240
29,Aguascalientes,60.0,222
30,Aguascalientes,61.0,194
31,Aguascalientes,62.0,195
32,Aguascalientes,63.0,160
33,Aguascalientes,64.0,171
34,Aguascalientes,65.0,136
35,Aguascalientes,66.0,109
36,Aguascalientes,67.0,110
37,Aguascalientes,68.0,108
38,Aguascalientes,69.0,49
39,Baja California,26.0,1
40,Baja California,27.0,1
41,Baja California,28.0,1
42,Baja California,29.0,2
43,Baja California,30.0,1
44,Baja California,31.0,3
45,Baja California,32.0,1
46,Baja California,33.0,1
47,Baja California,34.0,3
48,Baja California,35.0,3
49,Baja California,36.0,7
50,Baja California,37.0,8
51,Baja California,38.0,10
52,Baja California,39.0,19
53,Baja California,40.0,244
54,Baja California,41.0,298
55,Baja California,42.0,312
56,Baja California,43.0,325
57,Baja California,44.0,392
58,Baja California,45.0,365
59,Baja California,46.0,424
60,Baja California,47.0,389
61,Baja California,48.0,426
62,Baja California,49.0,397
63,Baja California,50.0,409
64,Baja California,51.0,361
65,Baja California,52.0,347
66,Baja California,53.0,355
67,Baja California,54.0,367
68,Baja California,55.0,304
69,Baja California,56.0,303
70,Baja California,57.0,308
71,Baja California,58.0,286
72,Baja California,59.0,265
73,Baja California,60.0,227
74,Baja California,61.0,263
75,Baja California,62.0,204
76,Baja California,63.0,162
77,Baja California,64.0,158
78,Baja California,65.0,140
79,Baja California,66.0,115
80,Baja California,67.0,105
81,Baja California,68.0,82
82,Baja California,69.0,76
83,Baja California Sur,27.0,1
84,Baja California Sur,28.0,1
85,Baja California Sur,29.0,1
86,Baja California Sur,32.0,1
87,Baja California Sur,34.0,1
88,Baja California Sur,35.0,4
89,Baja California Sur,36.0,2
90,Baja California Sur,37.0,2
91,Baja California Sur,38.0,8
92,Baja California Sur,39.0,21
93,Baja California Sur,40.0,207
94,Baja California Sur,41.0,212
95,Baja California Sur,42.0,220
96,Baja California Sur,43.0,262
97,Baja California Sur,44.0,249
98,Baja California Sur,45.0,246
99,Baja California Sur,46.0,237
100,Baja California Sur,47.0,226
101,Baja California Sur,48.0,254
102,Baja California Sur,49.0,225
103,Baja California Sur,50.0,243
104,Baja California Sur,51.0,219
105,Baja California Sur,52.0,205
106,Baja California Sur,53.0,211
107,Baja California Sur,54.0,177
108,Baja California Sur,55.0,189
109,Baja California Sur,56.0,156
110,Baja California Sur,57.0,143
111,Baja California Sur,58.0,153
112,Baja California Sur,59.0,154
113,Baja California Sur,60.0,131
114,Baja California Sur,61.0,140
115,Baja California Sur,62.0,97
116,Baja California Sur,63.0,73
117,Baja California Sur,64.0,80
118,Baja California Sur,65.0,72
119,Baja California Sur,66.0,44
120,Baja California Sur,67.0,43
121,Baja California Sur,68.0,47
122,Baja California Sur,69.0,25
123,Campeche,31.0,1
124,Campeche,34.0,1
125,Campeche,35.0,1
126,Campeche,37.0,3
127,Campeche,38.0,3
128,Campeche,39.0,4
129,Campeche,40.0,194
130,Campeche,41.0,198
131,Campeche,42.0,214
132,Campeche,43.0,206
133,Campeche,44.0,242
134,Campeche,45.0,214
135,Campeche,46.0,228
136,Campeche,47.0,214
137,Campeche,48.0,225
138,Campeche,49.0,228
139,Campeche,50.0,206
140,Campeche,51.0,187
141,Campeche,52.0,155
142,Campeche,53.0,189
143,Campeche,54.0,148
144,Campeche,55.0,153
145,Campeche,56.0,151
146,Campeche,57.0,151
147,Campeche,58.0,109
148,Campeche,59.0,125
149,Campeche,60.0,90
150,Campeche,61.0,78
151,Campeche,62.0,92
152,Campeche,63.0,84
153,Campeche,64.0,61
154,Campeche,65.0,60
155,Campeche,66.0,57
156,Campeche,67.0,39
157,Campeche,68.0,36
158,Campeche,69.0,34
159,Chiapas,27.0,1
160,Chiapas,29.0,2
161,Chiapas,30.0,3
162,Chiapas,31.0,4
163,Chiapas,32.0,4
164,Chiapas,33.0,1
165,Chiapas,34.0,8
166,Chiapas,35.0,6
167,Chiapas,36.0,7
168,Chiapas,37.0,12
169,Chiapas,38.0,17
170,Chiapas,39.0,42
171,Chiapas,40.0,210
172,Chiapas,41.0,284
173,Chiapas,42.0,307
174,Chiapas,43.0,329
175,Chiapas,44.0,294
176,Chiapas,45.0,309
177,Chiapas,46.0,280
178,Chiapas,47.0,300
179,Chiapas,48.0,252
180,Chiapas,49.0,237
181,Chiapas,50.0,239
182,Chiapas,51.0,210
183,Chiapas,52.0,191
184,Chiapas,53.0,198
185,Chiapas,54.0,168
186,Chiapas,55.0,177
187,Chiapas,56.0,161
188,Chiapas,57.0,148
189,Chiapas,58.0,120
190,Chiapas,59.0,109
191,Chiapas,60.0,117
192,Chiapas,61.0,112
193,Chiapas,62.0,73
194,Chiapas,63.0,83
195,Chiapas,64.0,60
196,Chiapas,65.0,38
197,Chiapas,66.0,42
198,Chiapas,67.0,41
199,Chiapas,68.0,24
200,Chiapas,69.0,25
201,Chihuahua,26.0,1
202,Chihuahua,28.0,2
203,Chihuahua,29.0,2
204,Chihuahua,30.0,1
205,Chihuahua,31.0,2
206,Chihuahua,32.0,2
207,Chihuahua,33.0,1
208,Chihuahua,34.0,5
209,Chihuahua,35.0,10
210,Chihuahua,36.0,7
211,Chihuahua,37.0,14
212,Chihuahua,38.0,16
213,Chihuahua,39.0,38
214,Chihuahua,40.0,312
215,Chihuahua,41.0,364
216,Chihuahua,42.0,394
217,Chihuahua,43.0,428
218,Chihuahua,44.0,446
219,Chihuahua,45.0,479
220,Chihuahua,46.0,531
221,Chihuahua,47.0,531
222,Chihuahua,48.0,462
223,Chihuahua,49.0,438
224,Chihuahua,50.0,477
225,Chihuahua,51.0,468
226,Chihuahua,52.0,431
227,Chihuahua,53.0,414
228,Chihuahua,54.0,399
229,Chihuahua,55.0,395
230,Chihuahua,56.0,328
231,Chihuahua,57.0,284
232,Chihuahua,58.0,300
233,Chihuahua,59.0,308
234,Chihuahua,60.0,239
235,Chihuahua,61.0,220
236,Chihuahua,62.0,210
237,Chihuahua,63.0,181
238,Chihuahua,64.0,157
239,Chihuahua,65.0,135
240,Chihuahua,66.0,102
241,Chihuahua,67.0,94
242,Chihuahua,68.0,88
243,Chihuahua,69.0,69
244,Ciudad de México,26.0,1
245,Ciudad de México,28.0,1
246,Ciudad de México,29.0,5
247,Ciudad de México,30.0,2
248,Ciudad de México,31.0,4
249,Ciudad de México,32.0,8
250,Ciudad de México,33.0,2
251,Ciudad de México,34.0,9
252,Ciudad de México,35.0,10
253,Ciudad de México,36.0,15
254,Ciudad de México,37.0,28
255,Ciudad de México,38.0,26
256,Ciudad de México,39.0,170
257,Ciudad de México,40.0,2346
258,Ciudad de México,41.0,2480
259,Ciudad de México,42.0,2640
260,Ciudad de México,43.0,2870
261,Ciudad de México,44.0,3100
262,Ciudad de México,45.0,3216
263,Ciudad de México,46.0,3218
264,Ciudad de México,47.0,3142
265,Ciudad de México,48.0,3089
266,Ciudad de México,49.0,3217
267,Ciudad de México,50.0,3362
268,Ciudad de México,51.0,3053
269,Ciudad de México,52.0,3042
270,Ciudad de México,53.0,2927
271,Ciudad de México,54.0,2993
272,Ciudad de México,55.0,2953
273,Ciudad de México,56.0,2766
274,Ciudad de México,57.0,2583
275,Ciudad de México,58.0,2531
276,Ciudad de México,59.0,2436
277,Ciudad de México,60.0,2309
278,Ciudad de México,61.0,2083
279,Ciudad de México,62.0,1936
280,Ciudad de México,63.0,1717
281,Ciudad de México,64.0,1634
282,Ciudad de México,65.0,1493
283,Ciudad de México,66.0,1333
284,Ciudad de México,67.0,1163
285,Ciudad de México,68.0,1060
286,Ciudad de México,69.0,913
287,Coahuila de Zaragoza,32.0,1
288,Coahuila de Zaragoza,33.0,1
289,Coahuila de Zaragoza,34.0,1
290,Coahuila de Zaragoza,35.0,5
291,Coahuila de Zaragoza,36.0,2
292,Coahuila de Zaragoza,37.0,8
293,Coahuila de Zaragoza,38.0,13
294,Coahuila de Zaragoza,39.0,42
295,Coahuila de Zaragoza,40.0,331
296,Coahuila de Zaragoza,41.0,400
297,Coahuila de Zaragoza,42.0,412
298,Coahuila de Zaragoza,43.0,373
299,Coahuila de Zaragoza,44.0,401
300,Coahuila de Zaragoza,45.0,420
301,Coahuila de Zaragoza,46.0,456
302,Coahuila de Zaragoza,47.0,428
303,Coahuila de Zaragoza,48.0,443
304,Coahuila de Zaragoza,49.0,441
305,Coahuila de Zaragoza,50.0,407
306,Coahuila de Zaragoza,51.0,361
307,Coahuila de Zaragoza,52.0,333
308,Coahuila de Zaragoza,53.0,366
309,Coahuila de Zaragoza,54.0,324
310,Coahuila de Zaragoza,55.0,281
311,Coahuila de Zaragoza,56.0,297
312,Coahuila de Zaragoza,57.0,290
313,Coahuila de Zaragoza,58.0,249
314,Coahuila de Zaragoza,59.0,260
315,Coahuila de Zaragoza,60.0,206
316,Coahuila de Zaragoza,61.0,183
317,Coahuila de Zaragoza,62.0,166
318,Coahuila de Zaragoza,63.0,167
319,Coahuila de Zaragoza,64.0,127
320,Coahuila de Zaragoza,65.0,111
321,Coahuila de Zaragoza,66.0,92
322,Coahuila de Zaragoza,67.0,97
323,Coahuila de Zaragoza,68.0,77
324,Coahuila de Zaragoza,69.0,72
325,Colima,29.0,1
326,Colima,31.0,1
327,Colima,34.0,1
328,Colima,35.0,2
329,Colima,36.0,1
330,Colima,37.0,2
331,Colima,39.0,17
332,Colima,40.0,235
