,Estado,Año,PIB en miles de pesos,Total gasto público en salud,Subtotal no asegurados,Gasto administrativo SSA,Aportaciones federales,Gasto estatal en salud,Subtotal asegurados,IMSS,ISSSTE,Cuotas de recuperación,Primas de seguros médicos,Total gasto en salud % PIB,Total gasto en salud % gasto público,Gasto en salud asegurados per cápita,Gasto en salud no asegurados per cápita,Total gasto en salud per cápita,Aportación federal % no asegurados
282,Nayarit,2008-01-01,113501492.72,4465931.5,2288091.71,983260.95,975459.8,169621.28,2177839.8,1786910.81,390928.99,40422.7,32890.58,3.9,20.1,4397.5,4061.0,4218.41,92.6
283,Nuevo León,2008-01-01,1218404404.49,18606429.82,3977727.46,1743048.19,1907456.34,327222.93,14628702.35,13072846.75,1047448.56,108761.0,4651275.52,1.5,21.6,4595.24,2875.28,4074.21,91.8
284,Oaxaca,2008-01-01,268502360.75,14039444.45,10771127.04,5063099.84,4373780.49,205395.14,3268317.42,2002285.74,885544.71,53457.28,76235.88,5.2,20.0,3816.77,3653.98,3690.62,98.1
285,Puebla,2008-01-01,537010144.22,17321719.8,10102296.54,5371177.76,2967251.78,1032089.28,7219423.25,6063341.14,924874.92,158353.36,882093.92,3.2,24.6,4391.21,2477.0,3026.96,89.8
286,Querétaro de Arteaga,2008-01-01,318313877.42,5729066.01,2526595.84,1146192.22,1297234.22,83169.39,3202470.16,2690676.2,402812.38,101631.57,563402.73,1.8,18.1,3494.66,2923.65,3217.53,96.7
287,Quintana Roo,2008-01-01,244129730.0,4779380.75,2009906.1,737056.92,943139.8,329709.38,2769474.65,2420421.44,349053.22,113061.24,264256.31,2.0,23.3,3918.62,3620.0,3787.24,83.6
288,San Luis Potosí,2008-01-01,314237837.41,8418805.63,4205846.12,2089625.98,1435654.76,216284.63,4212959.51,3436779.41,658201.33,200813.23,336424.25,2.7,15.8,3790.88,2911.84,3294.08,94.9
289,Sinaloa,2008-01-01,362822785.22,11141814.09,4510102.06,1754513.96,1742116.75,733733.47,6631712.02,5416242.08,1085881.91,179512.81,289848.19,3.1,19.5,4251.87,3674.57,3997.64,83.7
290,Sonora,2008-01-01,502403671.29,11092449.42,4045647.85,1380343.93,1849975.31,815328.62,7046801.57,6195405.71,728084.31,179168.12,735899.76,2.2,15.7,4263.54,4130.8,4214.15,79.9
291,Tabasco,2008-01-01,578532183.66,12360998.06,8053040.14,3917421.83,1560971.27,2574647.04,4307957.92,2083764.74,411553.98,0.0,108034.39,2.1,19.9,5916.92,5462.91,5613.02,68.0
292,Tamaulipas,2008-01-01,599261019.88,13625630.51,5253224.41,2149251.41,2154209.52,730236.66,8372406.1,5419840.26,1037596.21,533253.77,813100.69,2.3,11.7,4429.82,3893.69,4206.51,86.1
293,Tlaxcala,2008-01-01,94398288.97,4031362.39,2438145.57,1266676.15,1075223.75,96245.67,1593216.82,1337958.8,255258.01,56864.99,14049.41,4.3,21.4,4401.74,3096.05,3507.21,96.1
294,Veracruz de Ignacio de la Llave,2008-01-01,809047945.67,28944193.88,14826182.69,7437618.38,3978878.1,2406921.41,14118011.19,9431214.33,1447636.6,339571.07,313889.25,3.6,15.1,5387.03,2994.78,3822.82,83.8
295,Yucatán,2008-01-01,221721484.57,8853305.39,3561111.5,1447615.13,1481810.28,228356.12,5292193.89,4423842.76,712642.06,31179.55,298395.27,4.0,17.8,5430.99,3742.95,4597.06,93.6
296,Zacatecas,2008-01-01,142758755.48,5349679.57,3098890.01,1221593.66,1274481.98,232310.0,2250789.56,1763143.32,487646.24,32597.34,24540.11,3.7,19.2,4150.57,3318.41,3624.11,92.5
297,Estados Unidos Mexicanos,2009-01-01,16374831286.43,504642225.19,232000560.6,108996136.07,67876334.07,37681556.04,272641664.59,208920999.68,47360009.09,6224138.39,40765663.78,3.1,15.2,5381.32,3730.63,4471.69,83.8
298,Aguascalientes,2009-01-01,170037798.5,5774392.52,2610773.93,1287783.15,1059497.82,263492.96,3163618.59,2587375.03,465414.09,36823.61,285098.83,3.4,26.5,4511.55,5499.67,4910.44,89.9
299,Baja California,2009-01-01,498025513.25,14138437.67,5554854.17,2274451.51,1394591.01,1809733.23,8583583.5,7718627.9,819490.75,33035.83,1027246.41,2.8,22.8,4371.1,4611.34,4462.45,67.4
300,Baja California Sur,2009-01-01,129480426.56,4224600.83,1626897.62,589494.92,698044.48,339358.23,2597703.21,1906897.12,690806.09,45681.73,110888.12,3.3,18.0,6315.12,7547.55,6738.88,79.1
301,Campeche,2009-01-01,730127737.51,5545174.54,3115219.44,1139150.55,1114448.62,752630.89,2429955.09,1496836.44,312875.67,21040.38,74812.16,0.8,3.3,6481.06,6935.98,6729.0,75.8
302,Coahuila de Zaragoza,2009-01-01,486493492.19,11671931.91,2889283.17,1124260.38,1147954.2,358469.45,8782648.74,7774392.69,962044.01,157200.37,1079975.36,2.4,23.3,4404.43,3852.8,4253.68,87.6
303,Colima,2009-01-01,88603008.81,3549374.6,1750642.87,772912.69,944138.7,33591.47,1798731.73,1517043.12,281688.62,14881.42,101592.62,4.0,12.6,5000.9,6134.67,5502.48,98.1
304,Chiapas,2009-01-01,293095823.15,14177161.66,10772855.9,6035547.07,2880878.95,451250.9,3404305.75,2557939.18,733195.88,71590.39,155783.55,4.8,14.4,3952.32,2710.16,2931.38,95.8
305,Chihuahua,2009-01-01,476230525.77,15813210.79,5932207.94,1851812.49,1778301.23,1931857.14,9881002.84,8959882.1,824854.3,58835.03,1239926.5,3.3,23.6,4457.68,4676.66,4537.38,67.4
306,Distrito Federal,2009-01-01,2806008337.76,102071186.85,29141770.61,18467786.5,3455207.66,5785447.32,72929416.24,47867901.17,21834245.01,27789.15,17716718.52,3.6,10.3,14482.59,7422.89,11389.85,80.2
307,Durango,2009-01-01,186219267.78,7020013.68,3182120.3,1174355.21,1571564.69,66885.89,3837893.38,3081607.1,668760.07,57422.33,153604.24,3.8,15.7,4399.31,4091.94,4254.44,97.9
308,Guanajuato,2009-01-01,554820495.53,18962095.11,10222977.1,7075422.74,2232039.78,915514.57,8739118.01,7022983.31,1152586.1,104243.43,714553.72,3.4,25.0,3891.83,3137.95,3445.55,91.0
309,Guerrero,2009-01-01,230363725.29,10927329.78,6849648.41,2551185.76,3879265.39,328969.14,4077681.38,3073423.66,1004257.72,180066.4,106597.41,4.7,17.2,4979.07,2638.29,3199.61,95.2
310,Hidalgo,2009-01-01,217814712.19,8717613.41,5289239.25,2556163.02,2069280.24,135312.08,3428374.16,2493141.57,583084.05,271225.86,138040.73,4.0,14.4,4057.88,2931.3,3290.58,97.4
311,Jalisco,2009-01-01,1001075619.55,29397864.68,12247987.16,5059078.33,4111172.28,3077736.54,17149877.52,15671142.46,1339318.09,73079.4,2899272.93,2.9,29.0,4516.56,3464.89,4009.54,74.9
312,México,2009-01-01,1313891343.32,49243864.99,31334941.29,13449335.37,7479147.77,10245162.98,17908923.71,16587006.12,1251311.78,322816.67,2855265.33,3.7,30.6,2568.16,3756.19,3215.27,67.3
313,Michoacán de Ocampo,2009-01-01,361694277.3,13852200.4,8238941.4,3468399.3,3625957.28,501405.82,5613259.0,4322939.99,1206100.68,197470.91,264183.29,3.8,22.4,4354.9,2664.02,3161.44,93.9
314,Morelos,2009-01-01,193938403.09,7178618.37,3366451.73,1970555.97,1131187.27,264708.49,3812166.64,2936952.28,810429.99,45697.75,299623.06,3.7,23.0,5466.67,3110.28,4033.59,92.1
315,Nayarit,2009-01-01,107528149.85,4714391.13,2302838.27,1023189.29,968874.97,147052.16,2411552.86,1975170.45,436382.41,36329.87,61926.71,4.4,20.0,4739.69,4005.13,4349.99,93.6
316,Nuevo León,2009-01-01,1146327969.68,19275496.22,4118021.11,1806343.98,1910442.6,401234.54,15157475.11,13565755.69,1170700.47,88936.87,5730810.8,1.7,21.7,4679.58,2926.58,4148.68,90.3
317,Oaxaca,2009-01-01,256399449.99,12657002.03,9084819.53,4754810.57,2746546.29,462113.87,3572182.5,2147700.57,1029246.13,54078.31,74598.56,4.9,17.0,4133.75,3054.56,3297.53,94.9
318,Puebla,2009-01-01,503037805.08,16515088.45,8912234.52,5485798.17,2216815.46,442242.84,7602853.93,6376050.24,1027408.67,249345.6,663592.47,3.3,22.9,4556.12,2159.12,2849.18,95.0
319,Querétaro de Arteaga,2009-01-01,314647675.39,6433833.33,2899235.47,1207254.78,1311180.51,380800.19,3534597.86,2823095.67,625479.81,70220.01,719296.04,2.0,19.1,3777.8,3295.21,3543.91,86.9
320,Quintana Roo,2009-01-01,225788290.39,5469707.82,2430655.58,910917.5,1144541.48,375196.6,3039052.24,2666827.35,372224.89,87851.63,295150.07,2.4,23.7,4153.93,4232.57,4188.5,84.6
321,San Luis Potosí,2009-01-01,300270531.49,8647447.01,4155928.26,2048891.19,1418611.17,236736.37,4491518.75,3583388.56,793557.99,52667.15,495926.8,2.9,16.7,3973.68,2849.03,3340.03,94.3
322,Sinaloa,2009-01-01,351975556.1,11992823.15,4908940.82,1758661.11,1853961.9,1032625.3,7083882.33,5772202.66,1200719.61,115109.38,404392.28,3.4,18.9,4483.77,3955.59,4251.4,79.0
323,Sonora,2009-01-01,476692732.33,11688161.3,4144959.46,1312001.3,1803679.31,1029278.85,7543201.84,6672039.48,774609.15,42741.16,797452.53,2.5,16.8,4481.74,4159.93,4362.07,75.2
324,Tabasco,2009-01-01,510567673.64,12010299.09,7650212.29,3568711.03,1589662.82,2491838.43,4360086.81,2135504.77,415400.53,20858.3,219268.54,2.4,10.9,5924.55,5121.55,5386.59,67.4
325,Tamaulipas,2009-01-01,522220964.8,14528181.29,5508852.83,2107316.86,2297805.34,871446.66,9019328.46,5880667.97,1174747.74,669429.03,1112661.78,2.8,11.0,4693.7,4025.13,4415.6,84.2
326,Tlaxcala,2009-01-01,93213811.24,4345571.14,2625661.3,1558237.95,923805.88,143617.48,1719909.84,1418738.66,301171.18,38661.94,27888.27,4.7,24.0,4678.17,3277.16,3717.83,94.5
327,Veracruz de Ignacio de la Llave,2009-01-01,778292509.23,29893991.19,14883554.35,7696700.72,4220194.92,1924800.78,15010436.84,9913748.03,1879326.47,319411.97,444957.71,3.8,11.7,6519.31,2785.19,3909.61,87.1
328,Yucatán,2009-01-01,221637817.78,9341195.89,3809217.05,1634300.77,1536866.97,271762.01,5531978.84,4596954.97,766292.37,38559.42,426012.88,4.2,18.6,5608.22,3937.48,4780.97,92.9
329,Zacatecas,2009-01-01,149969278.02,5526324.7,3256982.55,1275305.87,1360667.09,209282.84,2269342.14,1817063.38,452278.76,38528.02,39404.66,3.7,18.4,4110.78,3457.06,3698.59,93.6
330,Estados Unidos Mexicanos,2010-01-01,17236846274.85,532173476.05,241045026.21,111890069.05,66915746.97,43472950.32,291128449.84,224292671.54,50952257.48,6955268.3,42220516.27,3.1,15.6,5698.77,3815.85,4862.69,82.0
331,Aguascalientes,2010-01-01,178412289.68,5594337.83,2147958.93,831710.16,1161272.47,154976.3,3446378.9,2859187.39,419770.74,30938.07,310969.07,3.1,26.9,5356.37,3888.62,4678.37,92.8
332,Baja California,2010-01-01,507693943.55,14394917.76,5174316.11,1800867.45,1454839.28,1843198.48,9220601.64,8265753.25,887639.01,22692.53,1031843.85,2.8,23.9,4664.86,4145.3,4463.76,64.4
333,Baja California Sur,2010-01-01,129974964.11,4216068.86,1361942.51,422181.95,721391.58,218368.97,2854126.36,2057751.34,796375.02,33680.67,89542.83,3.2,18.3,7306.21,5259.03,6490.1,84.0
334,Campeche,2010-01-01,800222345.78,5098793.88,2612197.71,732999.13,1150023.45,590659.34,2486596.17,1565709.36,327996.48,11719.59,53001.23,0.6,3.4,6303.96,5905.97,6093.58,77.4
335,Coahuila de Zaragoza,2010-01-01,559652943.98,12333968.27,2989166.49,1127923.92,1165531.79,426995.16,9344801.78,8050097.07,1238467.92,81959.76,1149231.64,2.2,23.9,4856.07,3485.27,4433.47,85.7
336,Colima,2010-01-01,94011239.89,3439849.61,1556498.23,570827.59,966027.05,19643.6,1883351.38,1599189.75,284161.63,13755.82,100693.68,3.7,12.5,5124.84,5341.17,5220.52,98.7
337,Chiapas,2010-01-01,310139747.73,15188025.48,11412424.66,6650935.42,2874516.17,402291.37,3775600.82,2810040.3,859019.5,14337.94,147819.61,4.9,15.8,3565.13,2968.34,3097.22,96.5
338,Chihuahua,2010-01-01,492892177.59,16368290.13,6238479.13,2284743.17,1796659.04,1761121.14,10129811.0,9078279.85,925057.23,58978.37,1366613.59,3.3,24.4,4871.78,4314.33,4643.13,71.8
339,Distrito Federal,2010-01-01,2874704959.72,108235470.36,27780136.75,17420223.28,3403658.8,6048625.3,80455333.61,53224029.06,24458599.21,11943.33,18157812.71,3.8,10.5,16137.38,7017.05,12100.66,78.2
340,Durango,2010-01-01,189270141.54,7464749.51,3322826.05,1191558.19,1597650.99,187917.29,4141923.46,3195019.41,833223.77,62829.15,128750.15,3.9,15.5,4658.91,4255.76,4470.4,94.3
341,Guanajuato,2010-01-01,593030823.49,19424603.17,10403841.32,7044527.26,2170761.3,1188552.76,9020761.85,7431403.82,1082835.82,79868.93,759719.5,3.3,28.0,4078.39,3108.72,3494.57,88.6
342,Guerrero,2010-01-01,240337194.53,11819274.2,7568472.68,3818536.58,3454735.71,253123.68,4250801.52,3169822.42,1080979.1,195759.73,101005.46,4.9,19.1,5457.09,2839.62,3431.58,96.7
343,Hidalgo,2010-01-01,237886724.74,9298171.25,5747562.03,2719292.33,2242809.44,228600.35,3550609.22,2628723.23,565221.84,317629.77,141434.73,3.9,13.4,4010.45,3184.69,3456.45,96.0
344,Jalisco,2010-01-01,1059108726.38,29571254.14,11511614.36,4875645.87,3895020.84,2740947.64,18059639.79,16590032.11,1303647.44,44772.44,3046369.48,2.8,28.0,4799.52,3128.3,3973.23,76.2
345,México,2010-01-01,1400114637.1,57916012.84,39010669.08,15890802.07,7764633.27,15294486.69,18905343.76,17678724.89,1158846.8,277193.14,2668136.13,4.1,41.2,2771.27,4458.47,3719.32,60.8
346,Michoacán de Ocampo,2010-01-01,374211721.93,13012340.74,7038970.38,3783437.48,2184829.19,289467.04,5973370.36,4505039.5,1354906.07,156062.69,277865.61,3.5,21.8,4214.45,2344.05,2943.79,95.9
347,Morelos,2010-01-01,201515127.06,7196766.52,3219641.33,1887911.7,1070805.49,260924.13,3977125.19,3070101.58,823517.32,41200.65,317268.77,3.6,23.0,5444.45,3001.02,3990.8,91.9
348,Nayarit,2010-01-01,113500142.87,4809153.2,2405302.96,914269.79,1077125.61,256022.49,2403850.25,1963078.76,440771.48,38705.6,62771.67,4.2,14.5,4690.5,4033.26,4337.02,89.4
349,Nuevo León,2010-01-01,1216544643.34,21075324.04,4480924.9,2023691.25,1951742.01,505491.64,16594399.14,14960610.77,1152253.5,72625.57,6263456.93,1.7,27.2,5128.44,3012.36,4462.02,88.7
350,Oaxaca,2010-01-01,269253633.26,13213574.89,9689865.09,4884179.73,2819943.97,703021.6,3523709.8,2207359.1,943165.98,61371.67,68427.64,4.9,17.4,3462.84,3399.32,3416.03,92.7
351,Puebla,2010-01-01,537003594.64,17569594.43,9321203.66,5677251.33,2201801.19,608369.52,8248390.77,7049183.61,967846.88,124970.92,747947.65,3.3,25.1,4887.78,2231.95,2996.27,93.5
352,Querétaro de Arteaga,2010-01-01,330289049.86,6736668.09,3058093.94,1475816.49,1334686.23,247591.22,3678574.15,2954475.34,601259.07,51484.58,772313.38,2.0,21.6,3882.44,3395.24,3645.0,91.9
353,Quintana Roo,2010-01-01,233124955.29,6379124.59,2440602.82,838012.73,1157930.82,444659.27,3938521.77,3565740.81,372780.97,38214.28,312347.99,2.7,27.5,5112.55,4203.72,4721.97,81.8
354,San Luis Potosí,2010-01-01,315668521.0,9358065.26,4731688.6,2345562.93,1469851.93,403746.84,4626376.67,3736066.12,779644.82,139847.41,521134.52,3.0,17.5,3998.42,3242.2,3576.62,91.5
355,Sinaloa,2010-01-01,357345318.34,12083548.0,4847609.4,1691491.09,1994307.96,894741.43,7235938.6,5908397.08,1206033.23,204166.24,419907.72,3.4,21.0,4652.38,3740.4,4237.85,81.5
356,Sonora,2010-01-01,497451759.61,12171376.19,4088746.52,1270841.38,1827269.45,990635.68,8082629.67,7124260.55,821943.02,147135.05,825000.7,2.4,19.2,4955.89,3730.21,4463.23,75.8
357,Tabasco,2010-01-01,579551221.47,12043249.1,7530804.0,3089664.11,1726734.68,2714405.21,4512445.1,2326642.55,455751.36,127059.48,203598.51,2.1,10.8,5631.12,5189.0,5346.28,64.0
358,Tamaulipas,2010-01-01,524720672.63,15288091.04,6328199.39,2803549.92,2321378.92,960605.32,8959891.66,6038378.01,1090880.65,693358.3,1108786.02,2.9,11.2,4849.61,4255.35,4584.59,84.8
359,Tlaxcala,2010-01-01,101172849.42,4495279.91,2712663.23,1615510.77,935978.45,161174.02,1782616.68,1477249.28,305367.4,31864.23,28607.57,4.4,22.6,4959.07,3281.41,3789.83,94.1
360,Veracruz de Ignacio de la Llave,2010-01-01,824341202.48,30127617.89,14483473.71,7276583.09,4125372.61,1964608.09,15644144.18,10404179.16,2167001.43,320964.8,500410.33,3.7,11.3,5807.78,2885.96,3906.46,86.4
361,Yucatán,2010-01-01,226671801.93,9794143.08,3952739.86,1719475.41,1518041.58,345365.53,5841403.22,4847569.15,799023.92,24278.24,466850.25,4.3,20.5,5918.88,3977.48,4944.81,91.3
362,Zacatecas,2010-01-01,167880453.39,5789003.9,3390158.08,1210045.47,1378415.71,362613.24,2398845.82,1950576.92,448268.9,21611.2,46906.07,3.4,17.4,4252.78,3587.65,3836.27,89.3
363,Estados Unidos Mexicanos,2011-01-01,18216385605.63,554304139.1,249619475.48,123971464.33,72633762.18,33163988.85,304684663.62,228018181.37,59732326.2,6543731.78,44957779.47,3.0,15.5,5879.19,3908.94,4791.58,86.7
364,Aguascalientes,2011-01-01,186838855.52,6176650.41,2412548.13,921514.55,1259716.63,231316.94,3764102.28,3107248.38,530341.54,27538.49,303231.33,3.3,9.8,5747.92,4306.35,5083.27,90.4
365,Baja California,2011-01-01,519695005.13,15788747.46,5577387.89,1995317.17,1616273.63,1887770.16,10211359.57,9255720.25,909768.43,20393.6,1120537.99,3.0,26.9,5078.39,4410.22,4820.4,66.2
366,Baja California Sur,2011-01-01,135446824.89,4848840.09,1663961.02,467767.29,790897.93,405295.8,3184879.06,2471698.57,713180.49,31016.21,103223.96,3.6,19.7,7863.94,6216.14,7208.23,75.6
367,Campeche,2011-01-01,969784994.3,5646142.41,2995117.81,812145.14,1239553.64,776188.75,2651024.61,1616910.0,358798.81,12529.13,81303.74,0.6,4.0,6584.35,6659.55,6624.03,74.1
368,Coahuila de Zaragoza,2011-01-01,612852332.82,12975888.21,3118250.17,1249712.16,1233935.7,371418.31,9857638.04,8401941.15,1403679.06,28973.03,1322160.67,2.1,25.7,5049.62,3601.08,4604.52,88.1
369,Colima,2011-01-01,101339130.74,3845521.44,1718605.1,632463.04,1070661.04,15481.02,2126916.34,1779893.54,347022.8,6409.21,114030.22,3.8,12.3,5662.76,5793.06,5720.27,99.1
370,Chiapas,2011-01-01,325345028.51,16914107.51,13004849.07,7369074.05,3124051.68,800797.25,3909258.45,2918650.91,887072.19,14471.84,172779.84,5.2,17.4,3624.36,3332.85,3395.98,93.8
371,Chihuahua,2011-01-01,505831689.4,16865422.96,6615681.2,2531439.65,1938685.08,1725207.12,10249741.77,9076710.14,1073739.24,50346.79,1396488.44,3.3,25.4,4874.9,4541.57,4738.48,73.9
372,Distrito Federal,2011-01-01,2977423417.38,105308575.4,29877010.79,19301182.02,4088574.29,6206382.08,75431564.61,42818303.2,29230471.14,20753.55,18408747.09,3.5,8.9,15132.9,7575.7,11794.79,79.2
373,Durango,2011-01-01,205748748.9,8355068.42,3610015.46,1320217.37,1758762.1,143075.33,4745052.95,3673051.75,982492.86,48656.72,187126.81,4.1,17.3,5260.11,4579.29,4942.6,96.0
374,Guanajuato,2011-01-01,639845336.72,20866338.47,11273356.64,7805164.18,2338129.46,1130063.0,9592981.83,7698056.76,1342976.68,64665.53,852854.75,3.3,29.2,4285.41,3339.09,3716.38,90.0
375,Guerrero,2011-01-01,246112318.83,12717303.55,8172769.57,4230845.29,3542819.08,326549.07,4544533.98,3366755.13,1177778.85,199562.28,126958.31,5.2,19.5,5762.25,3044.11,3661.28,96.0
376,Hidalgo,2011-01-01,252964302.23,9892409.81,6088320.57,3012909.51,2350059.86,130462.2,3804089.24,2721339.0,716458.54,296086.3,160758.11,3.9,13.0,4211.65,3331.8,3622.84,97.9
377,Jalisco,2011-01-01,1100307576.55,33097413.22,11932513.22,5402096.56,4074961.74,2455454.92,21164900.0,19185038.61,1818641.36,31373.51,3291952.67,3.0,29.7,5541.71,3204.19,4387.7,79.4
378,México,2011-01-01,1478164183.28,51982188.9,30094395.12,17606620.68,8376192.75,3864250.56,21887793.79,20382139.12,1440849.16,232700.64,3249575.22,3.5,36.4,3150.79,3381.85,3280.55,87.2
379,Michoacán de Ocampo,2011-01-01,407753298.9,14642728.55,7716066.49,4191956.35,2414996.8,222718.68,6926662.06,5179717.57,1655066.81,119794.69,327256.97,3.6,25.0,4836.2,2550.05,3284.52,97.1
380,Morelos,2011-01-01,203161805.84,7684803.67,3419049.44,2091760.06,1053340.69,273948.69,4265754.23,3193289.06,1000403.63,24688.51,346583.29,3.8,25.4,5759.4,3146.77,4205.81,92.0
381,Nayarit,2011-01-01,118552791.9,5224871.77,2688334.1,1012988.6,1220703.5,275894.67,2536537.67,2052298.17,484239.51,21791.93,68944.79,4.4,15.1,4830.04,4428.48,4614.73,89.7
382,Nuevo León,2011-01-01,1265168904.42,22531990.49,4656620.48,2242200.49,2028614.83,385805.16,17875370.01,16124065.82,1315474.73,37762.46,6803663.4,1.8,30.1,5429.5,3094.11,4696.85,91.7
383,Oaxaca,2011-01-01,281340447.45,14294299.8,10468662.03,5411551.87,2949988.74,772871.68,3825637.77,2296687.66,1125095.46,67972.32,91595.21,5.1,19.6,3717.45,3644.68,3663.88,92.6
384,Puebla,2011-01-01,574270722.41,19111265.34,10174644.93,6290255.84,2480310.9,448468.68,8936620.42,7631218.26,1091560.89,43735.63,809729.45,3.3,25.9,5223.54,2408.67,3220.09,95.6
385,Querétaro de Arteaga,2011-01-01,357979983.6,6897140.47,3308398.89,1635168.64,1431340.75,241889.51,3588741.57,3041170.9,459936.97,54243.52,886311.32,1.9,21.0,3709.67,3620.87,3666.54,92.7
386,Quintana Roo,2011-01-01,241780688.5,6760057.93,2805149.81,928497.64,1232592.63,644059.55,3954908.12,3571728.16,383179.96,45940.96,395314.63,2.8,28.8,4959.39,4691.69,4844.68,77.0
387,San Luis Potosí,2011-01-01,336643609.01,10444550.62,5489510.91,2598826.46,1754988.13,593934.62,4955039.71,3935566.9,908277.69,243422.62,578387.77,3.1,18.9,4218.79,3726.62,3944.96,89.2
388,Sinaloa,2011-01-01,372486200.05,13112831.88,5144187.09,1874130.81,2143430.38,835361.5,7968644.79,6390803.2,1468496.17,110494.65,455768.34,3.5,21.4,5062.77,3943.25,4555.4,83.8
389,Sonora,2011-01-01,554853280.73,12734360.39,4426381.75,1408061.22,2077963.23,940357.3,8307978.63,7308904.99,892055.68,159174.88,879019.26,2.3,18.2,5011.93,3988.73,4601.63,78.8
390,Tabasco,2011-01-01,694540804.17,13327315.16,8315317.55,3423272.39,2082821.03,2809224.12,5011997.61,2753866.61,572682.29,53625.34,196801.82,1.9,12.5,6151.37,5662.99,5837.27,66.2
391,Tamaulipas,2011-01-01,533940565.47,16608540.62,6795786.52,3106264.86,2487834.42,923577.3,9812754.1,6506022.86,1372617.96,909602.22,1109988.4,3.1,13.6,5234.54,4524.8,4918.84,86.4
392,Tlaxcala,2011-01-01,99434389.04,5169809.75,3269648.85,1789946.48,1122014.44,357687.93,1900160.89,1507335.49,392825.4,25499.45,33793.23,5.2,26.2,5189.67,3891.75,4285.71,89.1
393,Veracruz de Ignacio de la Llave,2011-01-01,871676196.73,32115201.3,15957856.23,8062276.38,4282767.09,2384323.38,16157345.07,10795282.55,2102602.38,125459.94,517952.42,3.7,12.1,5923.05,3151.28,4121.66,85.1
394,Yucatán,2011-01-01,234277146.8,10554105.84,4186269.53,1905136.76,1518785.15,348806.66,6367836.31,5176034.57,1013864.48,23738.07,467317.61,4.5,22.4,6345.27,4162.94,5252.99,91.7
395,Zacatecas,2011-01-01,183767986.77,6245432.87,3604025.77,1340700.83,1547994.84,235346.9,2641407.1,2080732.06,560675.04,18691.71,68726.72,3.4,19.3,4627.29,3786.11,4101.44,93.5
396,Estados Unidos Mexicanos,2012-01-01,18970288203.0,592210163.57,265780697.76,135206275.84,77706631.03,30609281.56,326429465.82,239326772.02,55354498.62,5861962.01,47355186.53,3.1,15.8,6212.48,4120.02,5059.3,88.5
397,Aguascalientes,2012-01-01,200257440.09,6657659.1,2852006.96,1005026.04,1328487.37,518493.56,3805652.14,3208146.24,445401.84,136249.74,320439.78,3.3,30.0,5713.88,5022.16,5395.53,81.8
398,Baja California,2012-01-01,547775816.45,14155667.07,4329788.63,2176141.09,1859042.49,211724.74,9825878.44,8867425.59,901163.71,22441.4,1128633.83,2.6,23.0,4801.34,3377.01,4252.71,95.1
399,Baja California Sur,2012-01-01,137798472.54,4590592.91,1580775.2,510158.28,891103.87,179513.05,3009817.71,2401136.47,608681.24,18647.91,116125.71,3.3,16.7,7179.86,5723.17,6601.29,88.6
400,Campeche,2012-01-01,934306862.37,5559809.75,2803285.04,885745.11,1347272.35,379340.95,2756524.7,1671809.46,291804.64,2568.91,79011.49,0.6,3.6,6722.12,6143.42,6417.33,86.5
401,Coahuila de Zaragoza,2012-01-01,652042778.14,12895974.26,3438962.15,1362966.32,1380767.67,362458.51,9457012.11,8538079.79,850973.57,33949.56,1315257.29,2.0,25.6,4776.15,3933.47,4518.03,89.5
402,Colima,2012-01-01,104958776.31,3957126.22,1913370.22,689779.52,1205919.8,17670.9,2043756.0,1749112.1,294643.9,8006.79,121532.5,3.8,9.8,5328.35,6339.21,5773.51,99.1
403,Chiapas,2012-01-01,337838939.44,18825169.81,13448948.95,8036890.29,3504455.19,114989.87,5376220.86,3306880.97,702682.32,8840.75,191919.98,5.6,20.7,4903.14,3401.28,3727.34,99.1
404,Chihuahua,2012-01-01,556443847.15,17403092.94,6884975.49,2760849.27,2061184.13,1657181.97,10518117.44,9655356.41,748455.11,52505.51,1423069.41,3.1,26.6,4940.38,4684.35,4835.82,75.9
405,Distrito Federal,2012-01-01,3074850263.61,121564944.41,32204414.26,21050335.73,3982411.16,6549774.05,89360530.15,52259551.64,32912655.98,21229.35,20075292.09,4.0,8.8,17932.27,8197.76,13641.11,79.7
406,Durango,2012-01-01,215946300.14,8075268.81,3819696.22,1439860.98,1801822.14,158046.28,4255572.59,3490835.37,668126.85,45254.09,191742.52,3.7,20.3,4654.31,4802.17,4723.1,95.9
407,Guanajuato,2012-01-01,678562033.46,21756460.0,12189548.51,8512500.71,2637370.92,1039676.89,9566911.48,8106486.98,916027.26,53307.09,895174.41,3.2,27.7,4225.54,3580.83,3838.35,91.5
408,Guerrero,2012-01-01,254691812.86,13158447.43,8486855.31,4614262.11,3479284.43,303493.79,4671592.12,3609816.48,1061775.64,98576.43,91177.48,5.2,20.4,5858.52,3140.83,3760.08,96.4
409,Hidalgo,2012-01-01,277780802.36,10346369.66,6570655.52,3285951.95,2482339.94,173494.84,3775714.14,2893342.11,522063.63,297384.09,162745.43,3.7,14.2,4103.89,3553.74,3736.54,97.4
410,Jalisco,2012-01-01,1163739513.69,32426831.42,12315967.88,5891657.06,4241307.24,2183003.59,20110863.53,18831568.53,1111803.57,22746.49,3536785.93,2.8,32.7,5188.43,3268.52,4242.04,82.3
