,Estado,Año,PIB en miles de pesos,Total gasto público en salud,Subtotal no asegurados,Gasto administrativo SSA,Aportaciones federales,Gasto estatal en salud,Subtotal asegurados,IMSS,ISSSTE,Cuotas de recuperación,Primas de seguros médicos,Total gasto en salud % PIB,Total gasto en salud % gasto público,Gasto en salud asegurados per cápita,Gasto en salud no asegurados per cápita,Total gasto en salud per cápita,Aportación federal % no asegurados
209,Guanajuato,2006-01-01,555533381.55,14452581.45,6560604.85,3276677.09,2209405.51,1074522.25,7891976.6,6594549.18,770497.73,178271.71,390544.18,2.6,23.9,3684.34,2055.66,2709.76,83.6
210,Guerrero,2006-01-01,224292687.67,8874097.04,5340935.24,2003245.3,2954071.39,383618.55,3533161.8,2772084.16,761077.64,176124.71,50095.54,4.0,15.5,4405.54,2116.48,2668.52,92.8
211,Hidalgo,2006-01-01,229340619.87,7453773.4,4388314.18,1887361.49,1910116.65,101890.84,3065459.22,2381796.17,415157.53,194301.13,84519.98,3.3,14.6,3868.57,2522.68,2943.9,97.7
212,Jalisco,2006-01-01,1010586021.03,25599736.33,9761640.22,3110538.68,3955278.37,2695823.17,15838096.11,14774317.95,960803.11,132221.1,2037489.14,2.5,34.4,4402.47,2868.24,3656.63,72.4
213,México,2006-01-01,1291288688.76,32568732.71,16631115.08,6802470.43,7140044.13,2688600.52,15937617.64,15259144.82,613323.4,467793.65,1600903.14,2.5,27.9,2415.12,2105.77,2246.58,83.8
214,Michoacán de Ocampo,2006-01-01,346367941.79,9822623.17,4972168.94,1465464.12,2439733.05,434373.78,4850454.24,3901713.68,870341.45,326594.88,160649.97,2.8,20.6,3935.76,1642.97,2306.47,91.3
215,Morelos,2006-01-01,196133293.21,5861049.5,2463827.15,1173418.35,1027567.28,262841.53,3397222.35,2852584.6,462966.88,62349.24,158970.95,3.0,26.9,5072.82,2380.86,3438.48,89.3
216,Nayarit,2006-01-01,103359069.13,3975626.66,1839709.89,704206.74,869772.66,123852.33,2135916.77,1808281.73,327635.04,51981.39,24878.86,3.8,24.0,4546.98,3368.4,3913.36,93.3
217,Nuevo León,2006-01-01,1132135589.0,18491855.25,3551797.8,1494741.74,1783590.05,273466.01,14940057.45,13606225.62,834190.91,124353.24,4373946.24,1.6,29.9,4876.51,2640.44,4194.27,92.3
218,Oaxaca,2006-01-01,262982754.41,10072657.3,6872627.72,2835622.41,2764544.98,209143.31,3200029.58,2158382.05,712242.13,96294.08,48299.6,3.8,16.9,3794.08,2361.47,2683.36,97.0
219,Puebla,2006-01-01,500842713.54,13803336.84,6422486.29,2339804.02,2745649.7,612005.01,7380850.56,6472500.14,715584.31,248084.84,854034.18,2.8,25.3,4642.15,1605.3,2468.95,90.5
220,Querétaro de Arteaga,2006-01-01,290560517.48,4940612.25,1870204.19,510787.83,1243787.05,115629.31,3070408.06,2724150.89,249993.64,167008.28,381833.92,1.7,18.4,3498.25,2228.7,2877.73,93.8
221,Quintana Roo,2006-01-01,213163675.03,4750248.84,2199446.27,1046163.57,1003875.7,149407.0,2550802.57,2255717.62,295084.95,136108.14,153171.53,2.2,27.9,3894.36,4232.61,4043.98,93.2
222,San Luis Potosí,2006-01-01,297584664.73,7648670.42,3572998.36,1490320.59,1359142.02,273388.48,4075672.06,3446065.73,516991.2,330124.4,202741.76,2.6,21.6,3798.98,2503.74,3059.6,92.4
223,Sinaloa,2006-01-01,321386225.68,9707384.25,3338639.75,1142010.96,1435390.95,527717.08,6368744.5,5384744.6,865778.61,159797.37,166632.02,3.0,20.0,4214.64,2757.94,3566.71,84.2
224,Sonora,2006-01-01,485838471.78,12213967.93,5200892.12,2728714.44,1756241.34,715936.34,7013075.82,6287073.23,612123.67,190409.18,723726.35,2.5,23.2,4412.64,5458.75,4804.71,86.2
225,Tabasco,2006-01-01,472918933.97,14316320.8,10279890.46,3269197.48,3675755.46,3334937.53,4036430.34,2151094.3,319810.73,67764.56,88738.4,3.0,33.0,5679.65,7156.67,6667.78,67.6
226,Tamaulipas,2006-01-01,553464358.55,12443985.87,3948259.48,953476.05,2130821.69,575480.92,8495726.39,5804496.58,931750.28,681717.39,557369.71,2.2,15.2,4677.96,3006.44,3976.49,85.4
227,Tlaxcala,2006-01-01,86344621.03,4485707.22,2932711.69,1924327.14,882463.83,125920.72,1552995.53,1353928.02,199067.51,85093.86,13018.53,5.2,34.9,4418.72,3850.29,4029.76,95.7
228,Veracruz de Ignacio de la Llave,2006-01-01,755761834.73,22197424.63,8595474.14,2810880.82,3796575.94,916538.06,13601950.49,9727813.74,1032282.96,446249.71,212368.07,2.9,13.1,5272.8,1764.31,2978.93,89.3
229,Yucatán,2006-01-01,208885154.06,7580798.91,2583123.44,720639.78,1333284.03,201646.7,4997675.47,4320748.6,552509.53,47065.95,376429.5,3.6,19.4,5274.74,2792.27,4048.33,92.2
230,Zacatecas,2006-01-01,126009110.3,4075268.87,1932816.06,491620.81,896441.97,161160.46,2142452.81,1797972.84,344479.97,55555.73,43920.01,3.2,18.0,4081.3,2093.92,2814.4,91.7
231,Estados Unidos Mexicanos,2007-01-01,17088432302.71,448086852.02,187345594.41,78941431.83,64616657.66,28720208.49,260741257.6,201051617.49,44433202.72,8268915.24,36307108.86,2.6,15.8,5289.09,3097.16,4081.41,84.7
232,Aguascalientes,2007-01-01,178097605.21,4750281.0,1862929.91,700465.74,925275.35,237188.82,2887351.1,2488359.76,300460.02,58100.44,263010.41,2.7,21.9,4306.17,4027.8,4192.54,87.3
233,Baja California,2007-01-01,562984146.73,12073663.42,4102215.94,1979245.53,1384376.34,666801.88,7971447.48,7307294.56,610998.5,41948.23,810001.09,2.1,25.3,4247.57,3520.99,3969.28,83.8
234,Baja California Sur,2007-01-01,125168048.72,3460557.82,1190344.19,388205.16,628902.91,173236.11,2270213.63,1848099.59,422114.04,59505.95,81768.09,2.8,20.7,5932.12,5894.55,5919.13,85.5
235,Campeche,2007-01-01,976042242.68,5000102.45,2675748.52,682206.44,1074392.63,813336.6,2324353.93,1489303.4,259826.54,24674.08,42034.1,0.5,9.4,6444.71,6154.13,6285.88,69.6
236,Coahuila de Zaragoza,2007-01-01,549125606.74,10578949.38,2137175.59,571590.76,1170743.78,143479.2,8441773.79,7693933.11,689147.11,185422.98,849879.25,1.9,24.1,4372.15,2914.8,3971.04,93.3
