VAR,Variable,Country,Year,Value
CANCTOCA,Malignant neoplasms,Australia,2002-01-01,312.0
CANCTOCA,Malignant neoplasms,Australia,2008-01-01,314.1
CANCTOCA,Malignant neoplasms,Australia,2012-01-01,323.0
CANCCOLC,Malignant neoplasms of colon,Australia,2002-01-01,41.7
CANCCOLC,Malignant neoplasms of colon,Australia,2008-01-01,38.7
CANCCOLC,Malignant neoplasms of colon,Australia,2012-01-01,38.4
CANCLUNC,Malignant neoplasms of lung,Australia,2002-01-01,28.2
CANCLUNC,Malignant neoplasms of lung,Australia,2008-01-01,25.6
CANCLUNC,Malignant neoplasms of lung,Australia,2012-01-01,27.0
CANCTOCA,Malignant neoplasms,Austria,2000-01-01,250.7
CANCTOCA,Malignant neoplasms,Austria,2002-01-01,275.5
CANCTOCA,Malignant neoplasms,Austria,2008-01-01,250.6
CANCTOCA,Malignant neoplasms,Austria,2012-01-01,254.1
CANCCOLC,Malignant neoplasms of colon,Austria,2000-01-01,34.7
CANCCOLC,Malignant neoplasms of colon,Austria,2002-01-01,35.0
CANCCOLC,Malignant neoplasms of colon,Austria,2008-01-01,28.6
CANCCOLC,Malignant neoplasms of colon,Austria,2012-01-01,26.0
CANCLUNC,Malignant neoplasms of lung,Austria,2000-01-01,27.0
CANCLUNC,Malignant neoplasms of lung,Austria,2002-01-01,28.5
CANCLUNC,Malignant neoplasms of lung,Austria,2008-01-01,25.1
CANCLUNC,Malignant neoplasms of lung,Austria,2012-01-01,27.5
CANCTOCA,Malignant neoplasms,Belgium,2000-01-01,282.2
CANCTOCA,Malignant neoplasms,Belgium,2002-01-01,296.2
CANCTOCA,Malignant neoplasms,Belgium,2008-01-01,309.4
CANCTOCA,Malignant neoplasms,Belgium,2012-01-01,321.1
CANCCOLC,Malignant neoplasms of colon,Belgium,2000-01-01,32.7
CANCCOLC,Malignant neoplasms of colon,Belgium,2002-01-01,31.9
CANCCOLC,Malignant neoplasms of colon,Belgium,2008-01-01,35.5
CANCCOLC,Malignant neoplasms of colon,Belgium,2012-01-01,36.7
CANCLUNC,Malignant neoplasms of lung,Belgium,2000-01-01,43.8
CANCLUNC,Malignant neoplasms of lung,Belgium,2002-01-01,43.8
CANCLUNC,Malignant neoplasms of lung,Belgium,2008-01-01,35.3
CANCLUNC,Malignant neoplasms of lung,Belgium,2012-01-01,36.8
CANCTOCA,Malignant neoplasms,Canada,2002-01-01,299.9
CANCTOCA,Malignant neoplasms,Canada,2008-01-01,296.6
CANCTOCA,Malignant neoplasms,Canada,2012-01-01,295.7
CANCCOLC,Malignant neoplasms of colon,Canada,2002-01-01,36.4
CANCCOLC,Malignant neoplasms of colon,Canada,2008-01-01,38.1
CANCCOLC,Malignant neoplasms of colon,Canada,2012-01-01,35.2
CANCLUNC,Malignant neoplasms of lung,Canada,2002-01-01,43.7
CANCLUNC,Malignant neoplasms of lung,Canada,2008-01-01,35.9
CANCLUNC,Malignant neoplasms of lung,Canada,2012-01-01,37.9
CANCTOCA,Malignant neoplasms,Czech Republic,2002-01-01,289.3
CANCTOCA,Malignant neoplasms,Czech Republic,2008-01-01,288.5
CANCTOCA,Malignant neoplasms,Czech Republic,2012-01-01,293.8
CANCCOLC,Malignant neoplasms of colon,Czech Republic,2002-01-01,45.3
CANCCOLC,Malignant neoplasms of colon,Czech Republic,2008-01-01,43.0
CANCCOLC,Malignant neoplasms of colon,Czech Republic,2012-01-01,38.9
CANCLUNC,Malignant neoplasms of lung,Czech Republic,2002-01-01,39.7
CANCLUNC,Malignant neoplasms of lung,Czech Republic,2008-01-01,32.1
CANCLUNC,Malignant neoplasms of lung,Czech Republic,2012-01-01,32.5
CANCTOCA,Malignant neoplasms,Denmark,2000-01-01,287.8
CANCTOCA,Malignant neoplasms,Denmark,2002-01-01,281.4
CANCTOCA,Malignant neoplasms,Denmark,2008-01-01,321.1
CANCTOCA,Malignant neoplasms,Denmark,2012-01-01,338.1
CANCCOLC,Malignant neoplasms of colon,Denmark,2000-01-01,34.7
CANCCOLC,Malignant neoplasms of colon,Denmark,2002-01-01,37.0
CANCCOLC,Malignant neoplasms of colon,Denmark,2008-01-01,39.7
CANCCOLC,Malignant neoplasms of colon,Denmark,2012-01-01,40.5
CANCLUNC,Malignant neoplasms of lung,Denmark,2000-01-01,37.3
CANCLUNC,Malignant neoplasms of lung,Denmark,2002-01-01,37.6
CANCLUNC,Malignant neoplasms of lung,Denmark,2008-01-01,39.3
CANCLUNC,Malignant neoplasms of lung,Denmark,2012-01-01,39.2
CANCTOCA,Malignant neoplasms,Finland,2000-01-01,241.0
CANCTOCA,Malignant neoplasms,Finland,2002-01-01,246.0
CANCTOCA,Malignant neoplasms,Finland,2008-01-01,250.1
CANCTOCA,Malignant neoplasms,Finland,2012-01-01,256.8
CANCCOLC,Malignant neoplasms of colon,Finland,2000-01-01,23.2
CANCCOLC,Malignant neoplasms of colon,Finland,2002-01-01,23.3
CANCCOLC,Malignant neoplasms of colon,Finland,2008-01-01,23.2
CANCCOLC,Malignant neoplasms of colon,Finland,2012-01-01,23.5
CANCLUNC,Malignant neoplasms of lung,Finland,2000-01-01,22.8
CANCLUNC,Malignant neoplasms of lung,Finland,2002-01-01,21.8
CANCLUNC,Malignant neoplasms of lung,Finland,2008-01-01,19.1
CANCLUNC,Malignant neoplasms of lung,Finland,2012-01-01,20.1
CANCTOCA,Malignant neoplasms,France,2000-01-01,281.5
CANCTOCA,Malignant neoplasms,France,2002-01-01,289.5
CANCTOCA,Malignant neoplasms,France,2008-01-01,300.4
CANCTOCA,Malignant neoplasms,France,2012-01-01,303.5
CANCCOLC,Malignant neoplasms of colon,France,2000-01-01,33.3
CANCCOLC,Malignant neoplasms of colon,France,2002-01-01,33.4
CANCCOLC,Malignant neoplasms of colon,France,2008-01-01,29.4
CANCCOLC,Malignant neoplasms of colon,France,2012-01-01,30.0
CANCLUNC,Malignant neoplasms of lung,France,2000-01-01,30.5
CANCLUNC,Malignant neoplasms of lung,France,2002-01-01,30.7
CANCLUNC,Malignant neoplasms of lung,France,2008-01-01,30.0
CANCLUNC,Malignant neoplasms of lung,France,2012-01-01,35.0
CANCTOCA,Malignant neoplasms,Germany,2000-01-01,273.8
CANCTOCA,Malignant neoplasms,Germany,2002-01-01,283.3
CANCTOCA,Malignant neoplasms,Germany,2008-01-01,282.1
CANCTOCA,Malignant neoplasms,Germany,2012-01-01,283.8
CANCCOLC,Malignant neoplasms of colon,Germany,2000-01-01,38.5
CANCCOLC,Malignant neoplasms of colon,Germany,2002-01-01,39.3
CANCCOLC,Malignant neoplasms of colon,Germany,2008-01-01,35.5
CANCCOLC,Malignant neoplasms of colon,Germany,2012-01-01,30.9
CANCLUNC,Malignant neoplasms of lung,Germany,2000-01-01,30.8
CANCLUNC,Malignant neoplasms of lung,Germany,2002-01-01,29.7
CANCLUNC,Malignant neoplasms of lung,Germany,2008-01-01,28.1
CANCLUNC,Malignant neoplasms of lung,Germany,2012-01-01,27.5
CANCTOCA,Malignant neoplasms,Greece,2000-01-01,191.5
CANCTOCA,Malignant neoplasms,Greece,2002-01-01,203.0
CANCTOCA,Malignant neoplasms,Greece,2008-01-01,162.0
CANCTOCA,Malignant neoplasms,Greece,2012-01-01,163.0
CANCCOLC,Malignant neoplasms of colon,Greece,2000-01-01,15.5
CANCCOLC,Malignant neoplasms of colon,Greece,2002-01-01,17.5
CANCCOLC,Malignant neoplasms of colon,Greece,2008-01-01,13.3
CANCCOLC,Malignant neoplasms of colon,Greece,2012-01-01,13.5
CANCLUNC,Malignant neoplasms of lung,Greece,2000-01-01,32.1
CANCLUNC,Malignant neoplasms of lung,Greece,2002-01-01,33.4
CANCLUNC,Malignant neoplasms of lung,Greece,2008-01-01,29.1
CANCLUNC,Malignant neoplasms of lung,Greece,2012-01-01,28.5
CANCTOCA,Malignant neoplasms,Hungary,2002-01-01,318.8
CANCTOCA,Malignant neoplasms,Hungary,2008-01-01,286.6
CANCTOCA,Malignant neoplasms,Hungary,2012-01-01,285.4
CANCCOLC,Malignant neoplasms of colon,Hungary,2002-01-01,45.2
CANCCOLC,Malignant neoplasms of colon,Hungary,2008-01-01,42.6
CANCCOLC,Malignant neoplasms of colon,Hungary,2012-01-01,42.3
CANCLUNC,Malignant neoplasms of lung,Hungary,2002-01-01,59.8
CANCLUNC,Malignant neoplasms of lung,Hungary,2008-01-01,49.8
CANCLUNC,Malignant neoplasms of lung,Hungary,2012-01-01,51.6
CANCTOCA,Malignant neoplasms,Iceland,2002-01-01,286.5
CANCTOCA,Malignant neoplasms,Iceland,2008-01-01,290.4
CANCTOCA,Malignant neoplasms,Iceland,2012-01-01,284.3
CANCCOLC,Malignant neoplasms of colon,Iceland,2002-01-01,30.5
CANCCOLC,Malignant neoplasms of colon,Iceland,2008-01-01,30.4
CANCCOLC,Malignant neoplasms of colon,Iceland,2012-01-01,28.4
CANCLUNC,Malignant neoplasms of lung,Iceland,2002-01-01,30.0
CANCLUNC,Malignant neoplasms of lung,Iceland,2008-01-01,28.2
CANCLUNC,Malignant neoplasms of lung,Iceland,2012-01-01,29.8
CANCTOCA,Malignant neoplasms,Ireland,2000-01-01,254.6
CANCTOCA,Malignant neoplasms,Ireland,2002-01-01,254.3
CANCTOCA,Malignant neoplasms,Ireland,2008-01-01,317.0
CANCTOCA,Malignant neoplasms,Ireland,2012-01-01,307.9
CANCCOLC,Malignant neoplasms of colon,Ireland,2000-01-01,36.5
CANCCOLC,Malignant neoplasms of colon,Ireland,2002-01-01,35.1
CANCCOLC,Malignant neoplasms of colon,Ireland,2008-01-01,36.1
CANCCOLC,Malignant neoplasms of colon,Ireland,2012-01-01,34.9
CANCLUNC,Malignant neoplasms of lung,Ireland,2000-01-01,29.1
CANCLUNC,Malignant neoplasms of lung,Ireland,2002-01-01,29.8
CANCLUNC,Malignant neoplasms of lung,Ireland,2008-01-01,30.6
CANCLUNC,Malignant neoplasms of lung,Ireland,2012-01-01,31.3
CANCTOCA,Malignant neoplasms,Italy,2000-01-01,254.1
CANCTOCA,Malignant neoplasms,Italy,2002-01-01,276.5
CANCTOCA,Malignant neoplasms,Italy,2008-01-01,274.3
CANCTOCA,Malignant neoplasms,Italy,2012-01-01,278.6
CANCCOLC,Malignant neoplasms of colon,Italy,2000-01-01,29.6
CANCCOLC,Malignant neoplasms of colon,Italy,2002-01-01,33.0
CANCCOLC,Malignant neoplasms of colon,Italy,2008-01-01,36.5
CANCCOLC,Malignant neoplasms of colon,Italy,2012-01-01,33.9
CANCLUNC,Malignant neoplasms of lung,Italy,2000-01-01,34.2
CANCLUNC,Malignant neoplasms of lung,Italy,2002-01-01,34.4
CANCLUNC,Malignant neoplasms of lung,Italy,2008-01-01,26.7
CANCLUNC,Malignant neoplasms of lung,Italy,2012-01-01,24.5
CANCTOCA,Malignant neoplasms,Japan,2002-01-01,214.5
CANCTOCA,Malignant neoplasms,Japan,2008-01-01,201.1
CANCTOCA,Malignant neoplasms,Japan,2012-01-01,217.1
CANCCOLC,Malignant neoplasms of colon,Japan,2002-01-01,37.9
CANCCOLC,Malignant neoplasms of colon,Japan,2008-01-01,31.5
CANCCOLC,Malignant neoplasms of colon,Japan,2012-01-01,32.2
CANCLUNC,Malignant neoplasms of lung,Japan,2002-01-01,25.2
CANCLUNC,Malignant neoplasms of lung,Japan,2008-01-01,24.6
CANCLUNC,Malignant neoplasms of lung,Japan,2012-01-01,24.6
CANCTOCA,Malignant neoplasms,Korea,2002-01-01,220.5
CANCTOCA,Malignant neoplasms,Korea,2008-01-01,262.4
CANCTOCA,Malignant neoplasms,Korea,2012-01-01,307.8
CANCCOLC,Malignant neoplasms of colon,Korea,2002-01-01,20.3
CANCCOLC,Malignant neoplasms of colon,Korea,2008-01-01,35.2
CANCCOLC,Malignant neoplasms of colon,Korea,2012-01-01,45.0
CANCLUNC,Malignant neoplasms of lung,Korea,2002-01-01,33.1
CANCLUNC,Malignant neoplasms of lung,Korea,2008-01-01,27.6
CANCLUNC,Malignant neoplasms of lung,Korea,2012-01-01,28.7
CANCTOCA,Malignant neoplasms,Luxembourg,2000-01-01,271.2
CANCTOCA,Malignant neoplasms,Luxembourg,2002-01-01,296.7
CANCTOCA,Malignant neoplasms,Luxembourg,2008-01-01,284.0
CANCTOCA,Malignant neoplasms,Luxembourg,2012-01-01,280.3
CANCCOLC,Malignant neoplasms of colon,Luxembourg,2000-01-01,34.1
CANCCOLC,Malignant neoplasms of colon,Luxembourg,2002-01-01,37.2
CANCCOLC,Malignant neoplasms of colon,Luxembourg,2008-01-01,32.9
CANCCOLC,Malignant neoplasms of colon,Luxembourg,2012-01-01,31.5
CANCLUNC,Malignant neoplasms of lung,Luxembourg,2000-01-01,36.3
CANCLUNC,Malignant neoplasms of lung,Luxembourg,2002-01-01,37.5
CANCLUNC,Malignant neoplasms of lung,Luxembourg,2008-01-01,30.9
CANCLUNC,Malignant neoplasms of lung,Luxembourg,2012-01-01,28.4
CANCTOCA,Malignant neoplasms,Mexico,2002-01-01,147.3
CANCTOCA,Malignant neoplasms,Mexico,2008-01-01,128.4
CANCTOCA,Malignant neoplasms,Mexico,2012-01-01,131.5
CANCCOLC,Malignant neoplasms of colon,Mexico,2002-01-01,7.5
CANCCOLC,Malignant neoplasms of colon,Mexico,2008-01-01,6.5
CANCCOLC,Malignant neoplasms of colon,Mexico,2012-01-01,7.8
CANCLUNC,Malignant neoplasms of lung,Mexico,2002-01-01,11.9
CANCLUNC,Malignant neoplasms of lung,Mexico,2008-01-01,9.4
CANCLUNC,Malignant neoplasms of lung,Mexico,2012-01-01,7.5
CANCTOCA,Malignant neoplasms,Netherlands,2000-01-01,276.5
CANCTOCA,Malignant neoplasms,Netherlands,2002-01-01,283.0
CANCTOCA,Malignant neoplasms,Netherlands,2008-01-01,289.9
CANCTOCA,Malignant neoplasms,Netherlands,2012-01-01,304.8
CANCCOLC,Malignant neoplasms of colon,Netherlands,2000-01-01,36.0
CANCCOLC,Malignant neoplasms of colon,Netherlands,2002-01-01,35.9
CANCCOLC,Malignant neoplasms of colon,Netherlands,2008-01-01,36.6
CANCCOLC,Malignant neoplasms of colon,Netherlands,2012-01-01,40.2
CANCLUNC,Malignant neoplasms of lung,Netherlands,2000-01-01,39.8
CANCLUNC,Malignant neoplasms of lung,Netherlands,2002-01-01,38.8
CANCLUNC,Malignant neoplasms of lung,Netherlands,2008-01-01,35.0
CANCLUNC,Malignant neoplasms of lung,Netherlands,2012-01-01,37.2
CANCTOCA,Malignant neoplasms,New Zealand,2002-01-01,331.0
CANCTOCA,Malignant neoplasms,New Zealand,2008-01-01,309.2
CANCTOCA,Malignant neoplasms,New Zealand,2012-01-01,295.0
CANCCOLC,Malignant neoplasms of colon,New Zealand,2002-01-01,47.6
CANCCOLC,Malignant neoplasms of colon,New Zealand,2008-01-01,40.5
CANCCOLC,Malignant neoplasms of colon,New Zealand,2012-01-01,37.3
CANCLUNC,Malignant neoplasms of lung,New Zealand,2002-01-01,28.9
CANCLUNC,Malignant neoplasms of lung,New Zealand,2008-01-01,26.1
CANCLUNC,Malignant neoplasms of lung,New Zealand,2012-01-01,25.9
CANCTOCA,Malignant neoplasms,Norway,2002-01-01,286.0
CANCTOCA,Malignant neoplasms,Norway,2008-01-01,297.9
CANCTOCA,Malignant neoplasms,Norway,2012-01-01,318.3
CANCCOLC,Malignant neoplasms of colon,Norway,2002-01-01,40.3
CANCCOLC,Malignant neoplasms of colon,Norway,2008-01-01,37.8
CANCCOLC,Malignant neoplasms of colon,Norway,2012-01-01,38.9
CANCLUNC,Malignant neoplasms of lung,Norway,2002-01-01,27.6
CANCLUNC,Malignant neoplasms of lung,Norway,2008-01-01,30.1
CANCLUNC,Malignant neoplasms of lung,Norway,2012-01-01,30.0
CANCTOCA,Malignant neoplasms,Poland,2002-01-01,256.1
CANCTOCA,Malignant neoplasms,Poland,2008-01-01,225.1
CANCTOCA,Malignant neoplasms,Poland,2012-01-01,229.6
CANCCOLC,Malignant neoplasms of colon,Poland,2002-01-01,27.7
CANCCOLC,Malignant neoplasms of colon,Poland,2008-01-01,23.9
CANCCOLC,Malignant neoplasms of colon,Poland,2012-01-01,27.0
CANCLUNC,Malignant neoplasms of lung,Poland,2002-01-01,48.3
CANCLUNC,Malignant neoplasms of lung,Poland,2008-01-01,40.5
CANCLUNC,Malignant neoplasms of lung,Poland,2012-01-01,38.0
CANCTOCA,Malignant neoplasms,Portugal,2000-01-01,231.6
CANCTOCA,Malignant neoplasms,Portugal,2002-01-01,237.9
CANCTOCA,Malignant neoplasms,Portugal,2008-01-01,223.2
CANCTOCA,Malignant neoplasms,Portugal,2012-01-01,246.2
CANCCOLC,Malignant neoplasms of colon,Portugal,2000-01-01,32.4
CANCCOLC,Malignant neoplasms of colon,Portugal,2002-01-01,28.6
CANCCOLC,Malignant neoplasms of colon,Portugal,2008-01-01,31.4
CANCCOLC,Malignant neoplasms of colon,Portugal,2012-01-01,31.7
CANCLUNC,Malignant neoplasms of lung,Portugal,2000-01-01,19.7
CANCLUNC,Malignant neoplasms of lung,Portugal,2002-01-01,20.1
CANCLUNC,Malignant neoplasms of lung,Portugal,2008-01-01,16.4
CANCLUNC,Malignant neoplasms of lung,Portugal,2012-01-01,20.2
CANCTOCA,Malignant neoplasms,Slovak Republic,2002-01-01,263.0
CANCTOCA,Malignant neoplasms,Slovak Republic,2008-01-01,260.6
CANCTOCA,Malignant neoplasms,Slovak Republic,2012-01-01,276.9
CANCCOLC,Malignant neoplasms of colon,Slovak Republic,2002-01-01,41.0
CANCCOLC,Malignant neoplasms of colon,Slovak Republic,2008-01-01,42.1
CANCCOLC,Malignant neoplasms of colon,Slovak Republic,2012-01-01,42.7
CANCLUNC,Malignant neoplasms of lung,Slovak Republic,2002-01-01,38.5
CANCLUNC,Malignant neoplasms of lung,Slovak Republic,2008-01-01,26.7
CANCLUNC,Malignant neoplasms of lung,Slovak Republic,2012-01-01,28.3
CANCTOCA,Malignant neoplasms,Spain,2000-01-01,219.3
CANCTOCA,Malignant neoplasms,Spain,2002-01-01,243.4
CANCTOCA,Malignant neoplasms,Spain,2008-01-01,241.4
CANCTOCA,Malignant neoplasms,Spain,2012-01-01,249.0
CANCCOLC,Malignant neoplasms of colon,Spain,2000-01-01,26.5
CANCCOLC,Malignant neoplasms of colon,Spain,2002-01-01,29.7
CANCCOLC,Malignant neoplasms of colon,Spain,2008-01-01,30.4
CANCCOLC,Malignant neoplasms of colon,Spain,2012-01-01,33.1
CANCLUNC,Malignant neoplasms of lung,Spain,2000-01-01,28.6
CANCLUNC,Malignant neoplasms of lung,Spain,2002-01-01,30.6
CANCLUNC,Malignant neoplasms of lung,Spain,2008-01-01,28.8
CANCLUNC,Malignant neoplasms of lung,Spain,2012-01-01,30.3
CANCTOCA,Malignant neoplasms,Sweden,2000-01-01,256.1
CANCTOCA,Malignant neoplasms,Sweden,2002-01-01,264.7
CANCTOCA,Malignant neoplasms,Sweden,2008-01-01,259.7
CANCTOCA,Malignant neoplasms,Sweden,2012-01-01,270.0
CANCCOLC,Malignant neoplasms of colon,Sweden,2000-01-01,28.8
CANCCOLC,Malignant neoplasms of colon,Sweden,2002-01-01,29.8
CANCCOLC,Malignant neoplasms of colon,Sweden,2008-01-01,28.5
CANCCOLC,Malignant neoplasms of colon,Sweden,2012-01-01,29.2
CANCLUNC,Malignant neoplasms of lung,Sweden,2000-01-01,16.8
CANCLUNC,Malignant neoplasms of lung,Sweden,2002-01-01,17.8
CANCLUNC,Malignant neoplasms of lung,Sweden,2008-01-01,18.5
CANCLUNC,Malignant neoplasms of lung,Sweden,2012-01-01,19.1
CANCTOCA,Malignant neoplasms,Switzerland,2000-01-01,247.3
CANCTOCA,Malignant neoplasms,Switzerland,2002-01-01,284.6
CANCTOCA,Malignant neoplasms,Switzerland,2008-01-01,269.3
CANCTOCA,Malignant neoplasms,Switzerland,2012-01-01,287.0
CANCCOLC,Malignant neoplasms of colon,Switzerland,2000-01-01,27.8
CANCCOLC,Malignant neoplasms of colon,Switzerland,2002-01-01,34.0
CANCCOLC,Malignant neoplasms of colon,Switzerland,2008-01-01,25.9
CANCCOLC,Malignant neoplasms of colon,Switzerland,2012-01-01,29.4
CANCLUNC,Malignant neoplasms of lung,Switzerland,2000-01-01,30.1
CANCLUNC,Malignant neoplasms of lung,Switzerland,2002-01-01,29.2
CANCLUNC,Malignant neoplasms of lung,Switzerland,2008-01-01,26.7
CANCLUNC,Malignant neoplasms of lung,Switzerland,2012-01-01,27.3
CANCTOCA,Malignant neoplasms,Turkey,2002-01-01,114.3
CANCTOCA,Malignant neoplasms,Turkey,2008-01-01,144.8
CANCTOCA,Malignant neoplasms,Turkey,2012-01-01,205.1
CANCCOLC,Malignant neoplasms of colon,Turkey,2002-01-01,8.8
CANCCOLC,Malignant neoplasms of colon,Turkey,2008-01-01,11.0
CANCCOLC,Malignant neoplasms of colon,Turkey,2012-01-01,16.6
CANCLUNC,Malignant neoplasms of lung,Turkey,2002-01-01,26.5
CANCLUNC,Malignant neoplasms of lung,Turkey,2008-01-01,26.0
CANCLUNC,Malignant neoplasms of lung,Turkey,2012-01-01,34.7
CANCTOCA,Malignant neoplasms,United Kingdom,2000-01-01,247.3
CANCTOCA,Malignant neoplasms,United Kingdom,2002-01-01,273.6
CANCTOCA,Malignant neoplasms,United Kingdom,2008-01-01,269.4
CANCTOCA,Malignant neoplasms,United Kingdom,2012-01-01,272.9
CANCCOLC,Malignant neoplasms of colon,United Kingdom,2000-01-01,30.3
CANCCOLC,Malignant neoplasms of colon,United Kingdom,2002-01-01,32.9
CANCCOLC,Malignant neoplasms of colon,United Kingdom,2008-01-01,29.3
CANCCOLC,Malignant neoplasms of colon,United Kingdom,2012-01-01,30.2
CANCLUNC,Malignant neoplasms of lung,United Kingdom,2000-01-01,34.7
CANCLUNC,Malignant neoplasms of lung,United Kingdom,2002-01-01,36.5
CANCLUNC,Malignant neoplasms of lung,United Kingdom,2008-01-01,31.8
CANCLUNC,Malignant neoplasms of lung,United Kingdom,2012-01-01,30.0
CANCTOCA,Malignant neoplasms,United States,2002-01-01,357.7
CANCTOCA,Malignant neoplasms,United States,2008-01-01,300.2
CANCTOCA,Malignant neoplasms,United States,2012-01-01,318.0
CANCCOLC,Malignant neoplasms of colon,United States,2002-01-01,38.9
CANCCOLC,Malignant neoplasms of colon,United States,2008-01-01,29.2
CANCCOLC,Malignant neoplasms of colon,United States,2012-01-01,25.0
CANCLUNC,Malignant neoplasms of lung,United States,2002-01-01,49.0
CANCLUNC,Malignant neoplasms of lung,United States,2008-01-01,42.1
CANCLUNC,Malignant neoplasms of lung,United States,2012-01-01,38.4
CANCTOCA,Malignant neoplasms,Brazil,2012-01-01,205.5
CANCCOLC,Malignant neoplasms of colon,Brazil,2012-01-01,15.8
CANCLUNC,Malignant neoplasms of lung,Brazil,2012-01-01,16.3
CANCTOCA,Malignant neoplasms,Chile,2008-01-01,176.7
CANCTOCA,Malignant neoplasms,Chile,2012-01-01,175.7
CANCCOLC,Malignant neoplasms of colon,Chile,2008-01-01,13.0
CANCCOLC,Malignant neoplasms of colon,Chile,2012-01-01,15.0
CANCLUNC,Malignant neoplasms of lung,Chile,2008-01-01,14.0
CANCLUNC,Malignant neoplasms of lung,Chile,2012-01-01,13.3
CANCTOCA,Malignant neoplasms,China (People's Republic of),2012-01-01,174.0
CANCCOLC,Malignant neoplasms of colon,China (People's Republic of),2012-01-01,14.2
CANCLUNC,Malignant neoplasms of lung,China (People's Republic of),2012-01-01,36.1
CANCTOCA,Malignant neoplasms,Estonia,2008-01-01,230.1
CANCTOCA,Malignant neoplasms,Estonia,2012-01-01,242.8
CANCCOLC,Malignant neoplasms of colon,Estonia,2008-01-01,25.4
CANCCOLC,Malignant neoplasms of colon,Estonia,2012-01-01,27.2
CANCLUNC,Malignant neoplasms of lung,Estonia,2008-01-01,30.5
CANCLUNC,Malignant neoplasms of lung,Estonia,2012-01-01,24.4
CANCTOCA,Malignant neoplasms,India,2012-01-01,94.0
CANCCOLC,Malignant neoplasms of colon,India,2012-01-01,6.1
CANCLUNC,Malignant neoplasms of lung,India,2012-01-01,6.9
CANCTOCA,Malignant neoplasms,Indonesia,2012-01-01,133.5
CANCCOLC,Malignant neoplasms of colon,Indonesia,2012-01-01,12.8
CANCLUNC,Malignant neoplasms of lung,Indonesia,2012-01-01,16.3
CANCTOCA,Malignant neoplasms,Israel,2008-01-01,288.3
CANCTOCA,Malignant neoplasms,Israel,2012-01-01,283.2
CANCCOLC,Malignant neoplasms of colon,Israel,2008-01-01,40.4
CANCCOLC,Malignant neoplasms of colon,Israel,2012-01-01,35.9
CANCLUNC,Malignant neoplasms of lung,Israel,2008-01-01,23.8
CANCLUNC,Malignant neoplasms of lung,Israel,2012-01-01,21.2
CANCTOCA,Malignant neoplasms,Russia,2012-01-01,204.3
CANCCOLC,Malignant neoplasms of colon,Russia,2012-01-01,24.5
CANCLUNC,Malignant neoplasms of lung,Russia,2012-01-01,24.0
CANCTOCA,Malignant neoplasms,Slovenia,2008-01-01,264.8
CANCTOCA,Malignant neoplasms,Slovenia,2012-01-01,296.3
CANCCOLC,Malignant neoplasms of colon,Slovenia,2008-01-01,35.5
CANCCOLC,Malignant neoplasms of colon,Slovenia,2012-01-01,37.0
CANCLUNC,Malignant neoplasms of lung,Slovenia,2008-01-01,31.5
CANCLUNC,Malignant neoplasms of lung,Slovenia,2012-01-01,33.9
CANCTOCA,Malignant neoplasms,South Africa,2012-01-01,187.1
CANCCOLC,Malignant neoplasms of colon,South Africa,2012-01-01,11.9
CANCLUNC,Malignant neoplasms of lung,South Africa,2012-01-01,18.5
CANCTOCA,Malignant neoplasms,Australia,2002-01-01,276.8
CANCTOCA,Malignant neoplasms,Australia,2008-01-01,274.4
CANCTOCA,Malignant neoplasms,Australia,2012-01-01,278.6
CANCCOLC,Malignant neoplasms of colon,Australia,2002-01-01,35.9
CANCCOLC,Malignant neoplasms of colon,Australia,2008-01-01,32.1
CANCCOLC,Malignant neoplasms of colon,Australia,2012-01-01,32.0
CANCLUNC,Malignant neoplasms of lung,Australia,2002-01-01,16.8
CANCLUNC,Malignant neoplasms of lung,Australia,2008-01-01,19.2
CANCLUNC,Malignant neoplasms of lung,Australia,2012-01-01,21.5
CANCBREC,Malignant neoplasms of female breast,Australia,2002-01-01,83.2
CANCBREC,Malignant neoplasms of female breast,Australia,2008-01-01,84.8
CANCBREC,Malignant neoplasms of female breast,Australia,2012-01-01,86.0
CANCCEIX,Malignant neoplasms of cervix,Australia,2002-01-01,6.9
CANCCEIX,Malignant neoplasms of cervix,Australia,2008-01-01,4.9
CANCCEIX,Malignant neoplasms of cervix,Australia,2012-01-01,5.5
CANCTOCA,Malignant neoplasms,Austria,2000-01-01,219.6
CANCTOCA,Malignant neoplasms,Austria,2002-01-01,238.1
CANCTOCA,Malignant neoplasms,Austria,2008-01-01,218.6
CANCTOCA,Malignant neoplasms,Austria,2012-01-01,222.7
CANCCOLC,Malignant neoplasms of colon,Austria,2000-01-01,26.1
CANCCOLC,Malignant neoplasms of colon,Austria,2002-01-01,27.8
CANCCOLC,Malignant neoplasms of colon,Austria,2008-01-01,22.2
CANCCOLC,Malignant neoplasms of colon,Austria,2012-01-01,19.6
CANCLUNC,Malignant neoplasms of lung,Austria,2000-01-01,12.0
CANCLUNC,Malignant neoplasms of lung,Austria,2002-01-01,14.3
CANCLUNC,Malignant neoplasms of lung,Austria,2008-01-01,16.2
CANCLUNC,Malignant neoplasms of lung,Austria,2012-01-01,19.5
CANCBREC,Malignant neoplasms of female breast,Austria,2000-01-01,67.2
CANCBREC,Malignant neoplasms of female breast,Austria,2002-01-01,70.5
CANCBREC,Malignant neoplasms of female breast,Austria,2008-01-01,69.9
